peak,i,fDom
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
doublePeak,low_i,f3
doublePeak,low_i,f3
doublePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
doublePeak,low_i,f3
doublePeak,low_i,f3
doublePeak,low_i,f3
doublePeak,low_i,f3
doublePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
doublePeak,low_i,f1
doublePeak,low_i,f1
doublePeak,low_i,f1
doublePeak,low_i,f1
doublePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
doublePeak,low_i,f3
doublePeak,low_i,f3
doublePeak,low_i,f3
doublePeak,low_i,f3
doublePeak,low_i,f3
doublePeak,low_i,f3
doublePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f1
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f4
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f3
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
singlePeak,low_i,f2
