,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,ra,dec,u,g,r,i,z,labels,class
942565,0.5317384,6.441877,10.10577,-0.01242834,0.5144278,256.560549934502,21.6821588448967,24.93307,22.45172,20.77664,19.77669,19.07796,0,GALAXY
699323,0.5027481,5.795227,8.4559,-0.03229883,0.5919235,133.941684236719,45.1881029232637,24.74608,21.78671,20.20508,19.3361,18.93518,0,GALAXY
1186747,1.995439,8.297685,10.16844,15.05316,8.115555,207.418055059156,58.6917870795034,19.8484,19.89306,19.96874,19.73919,19.51231,0,QSO
1140317,1.830567,14.98547,17.68309,6.230939,8.400533,13.7640368863672,14.6938905227002,20.44765,20.1999,19.9097,19.46886,19.38171,0,QSO
573207,0.1849795,41.34276,50.86959,6.669091,12.18736,332.571078704769,-8.98019966928638,19.44492,18.48753,17.73686,17.40117,17.17742,0,GALAXY
1125435,1.034677,2.975484,3.215071,3.565125,2.89616,161.973053439361,50.8531234938415,21.1375,21.31638,21.17376,21.24041,21.09009,0,QSO
1468873,0.6999619,6.472508,8.355538,2.64054,3.956631,159.906882112639,9.45980562687228,21.67107,20.98636,20.83944,20.53905,20.10676,0,QSO
1256321,1.371784,1.550651,1.633631,1.659758,0.9870217,224.305852864518,37.9164016890368,21.97639,21.97984,21.60158,21.54931,21.31024,0,QSO
862684,0.3178606,13.6256,20.24394,1.02862,2.233247,174.701784885712,41.9300520775598,22.30888,20.43715,18.66977,18.17311,17.78065,0,GALAXY
299118,-0.0002639302,85.153,102.6067,10.57852,30.12906,252.084936344946,23.8357326913586,20.13998,18.53621,17.81536,17.48943,17.29815,0,STAR
23992,-0.0001910127,10.07954,7.219082,12.05982,15.43048,245.640377166209,-0.723684263556997,19.71091,19.53634,19.82937,20.02964,20.1309,0,STAR
1076341,2.128284,5.818205,7.719326,5.07354,4.61969,147.43109670925,2.95392634175353,20.82183,20.29827,20.28349,20.22416,19.87871,0,QSO
832530,0.5319277,7.25714,11.1552,-0.08478636,0.5914536,161.882635190982,31.6693517427128,22.69615,22.35594,20.8767,19.90999,19.59615,0,GALAXY
1014397,2.367403,5.002299,5.833489,2.865278,5.146773,229.58994986064,-0.351724607069021,20.73833,20.2444,20.08028,20.11992,19.98987,0,QSO
141724,-5.512298e-05,481.552,552.8802,67.28883,199.3419,126.390051606768,37.6311064966908,18.23264,16.67387,15.99726,15.73251,15.59336,0,STAR
72682,-0.0001425737,787.8903,1233.56,78.24113,110.2938,200.477501805472,1.68188974835229,17.97994,17.73311,18.04731,18.60013,18.24364,0,STAR
1457771,1.174606,32.9795,30.19358,30.73901,29.60768,168.686623986401,29.1291685082497,18.95654,18.89494,18.75507,18.77343,18.89013,0,QSO
247635,-9.056953e-06,18.43685,32.68594,0.03290093,1.117076,219.429198388005,11.0712911392494,24.58804,21.94463,20.40766,19.41018,18.84552,0,STAR
967982,0.4607232,12.201,18.91445,0.2250866,1.134213,220.1681538057,6.7891081107602,23.70556,21.79142,20.07138,19.29382,18.85054,0,GALAXY
1475503,1.81065,2.456396,2.2008,1.470919,1.80405,127.690592759041,42.7448461239675,22.27617,21.86643,21.69159,21.22881,21.36357,0,QSO
835650,0.4602305,9.191876,14.1053,0.1051635,0.8518535,145.154922492358,40.1045601877009,24.18216,22.43632,20.7269,19.8398,19.32126,0,GALAXY
582805,0.681102,6.293261,7.98331,0.9475043,1.369986,221.598524312587,6.05945620476089,21.72416,21.5658,20.93024,19.98854,19.70133,0,GALAXY
661497,0.6443572,8.062388,12.46185,-0.03645163,0.3869761,199.347866160345,3.78286790809156,24.32831,22.03511,20.54331,19.45733,18.99335,0,GALAXY
1387980,2.198685,11.92813,15.36737,10.90517,11.9188,168.329223500571,36.7474575613418,19.78394,19.33596,19.42427,19.35999,19.1405,0,QSO
1237531,2.177115,2.681962,3.63209,1.536475,1.780756,157.252686665322,45.4217324037101,21.69213,21.29359,21.17532,21.01571,20.44365,0,QSO
1070480,1.559314,8.120645,9.454302,2.092701,3.629592,159.8752136629,-2.32235025781582,21.98323,21.31868,20.8374,20.44945,20.08662,0,QSO
954392,0.3989909,18.12579,27.95095,0.5419332,1.963392,254.842533129016,25.0365874512602,22.22195,20.6675,19.00711,18.30769,17.86979,0,GALAXY
