,0,1,2,3,4,5,6,7,8,9,10,11
221032,0.0005622237,35.95995,40.42534,3.897432,13.30685,116.933394398886,26.6137938566842,21.22762,19.65549,18.93013,18.66874,18.44142
297674,-0.0003543402,16.25334,19.92231,1.956262,6.659642,223.234778946995,47.2453597349848,22.16146,20.40561,19.75846,19.49606,19.37601
189863,1.553867,5.393488,5.325312,3.694327,4.327054,204.029745279513,49.3354325493226,21.23193,20.89524,20.82742,20.55247,20.20159
402776,0.973364,3.165631,5.855647,0.5186555,1.01577,148.952298008419,26.1095771424464,22.28372,22.13592,21.51827,20.98256,20.4058
240647,3.033984,23.3301,25.28873,5.793808,17.49237,232.220264772062,46.0691025941942,21.11395,19.18185,19.04748,19.00073,18.91168
287869,-8.297668e-06,237.8494,391.8813,2.430696,21.59223,151.405587854726,53.0885118655733,21.94433,19.14338,17.63167,16.53835,15.9504
152705,0.5363256,12.20965,13.05444,3.886767,5.936157,167.568630740742,50.7842877194218,21.04865,20.43445,20.11968,19.75715,19.74932
273863,-8.742679e-05,27.30783,70.69088,-0.1203941,0.3919873,248.397223791794,26.0339969474221,25.71371,22.04885,20.60814,18.70605,17.60594
449209,0.2136895,88.039,91.79906,56.28922,51.74405,15.6630051902931,23.3824647675217,18.60968,18.53731,18.01503,17.55394,17.44207
202890,-0.0001282507,8.696051,6.610792,15.03831,15.61261,242.15182544746,39.3399428745208,19.43552,19.49656,19.92654,20.20345,20.47546
49315,1.760269,36.91849,43.01994,16.90177,21.32443,315.755232060543,9.99325729363169,19.8895,19.2307,18.93148,18.58033,18.60027
253766,0.3225197,27.3766,39.59739,0.6558324,3.143449,195.947939553597,8.12200623357334,24.92485,20.6379,18.90274,18.26381,17.9894
350283,0.0001611473,9.063585,16.13936,0.6379924,1.192413,248.843630493961,21.3854481115243,23.36834,22.0279,20.83955,19.91684,19.2438
403808,-0.0005236314,70.44115,73.67693,20.99798,38.7538,226.633314447418,31.7290417965822,19.43373,18.48109,18.05147,17.87295,17.82871
314397,1.56277,4.822032,6.156623,0.9191288,1.940806,217.695874849291,36.2749186852801,22.56257,21.77225,21.27697,20.76713,20.46871
382317,0.8028691,1.876289,2.647512,0.590582,0.6470085,129.106668755203,27.8858502771841,22.91307,22.5428,22.11949,21.56731,22.42742
88901,0.4559522,13.46145,21.24042,0.2127584,1.183869,156.720129869018,1.82524399778009,24.55227,21.69777,19.99545,19.11997,18.74709
455187,0.8056634,1.366939,1.795689,0.5304316,0.5282645,153.589096613545,18.7769807267822,23.2649,22.64721,22.5282,21.74006,21.26257
96535,-1.102487e-05,249.1004,260.6059,40.47305,120.1761,193.994542988785,58.5145639775396,18.68584,17.24529,16.69501,16.51846,16.42901
63762,-0.0002788239,15.81206,17.1125,3.318873,7.091001,311.439792925675,-5.11644777929396,21.97132,20.31632,19.75174,19.44812,19.26447
446399,2.251712,2.353886,2.736267,1.785341,2.670475,191.514715872598,11.1244795530685,22.44209,21.4281,21.77844,21.84598,21.22579
385427,1.790777,2.145348,2.191936,1.149234,1.367393,198.290174548538,34.4267485568899,21.34527,21.45792,21.70449,21.26453,21.14314
319616,0.7952651,9.916902,11.47434,9.053266,10.83068,206.92619479197,14.0706647815536,20.85221,20.28191,20.28385,20.28896,20.04897
478785,-0.0001478722,31.94502,33.39039,13.22264,20.45945,188.777120468026,14.7775799019037,20.0132,19.08885,18.87712,18.65231,18.62389
277860,2.609772,16.96616,21.84661,9.007909,13.18803,246.78028901945,30.746336976287,20.19709,19.57743,19.63317,19.63345,19.46687
202649,0.5695423,10.29202,16.0225,-0.09936714,0.672129,141.525654600538,43.5985549948739,26.26493,22.26757,20.43774,19.26805,18.79536
104418,0.8861035,21.55546,24.61949,14.90306,17.34588,11.0667781753434,-0.543434835122822,19.52044,19.35947,19.22569,19.18769,18.98839
243924,0.5803345,13.45662,22.15582,-0.01562445,0.5373176,330.600724190005,0.36792686930012,25.15801,21.78996,20.17433,18.94524,18.42877
448676,-0.000431119,188.5431,211.8059,24.38719,76.12813,242.481371203063,17.0982043569017,19.41103,17.71988,17.02386,16.72854,16.58587
79066,1.500046,9.359912,9.439491,6.164775,5.867662,249.060554639538,42.5381931856878,20.98629,20.88107,20.57305,20.30042,20.29954
190545,0.09467036,101.7889,143.5202,4.961009,21.4642,348.207320982553,13.976913157296,20.46669,18.27418,17.23464,16.73105,16.27622
287895,0.2580637,15.12285,18.48101,3.959155,7.009072,6.67804007660001,0.700431263513284,20.21989,19.33293,18.72114,18.47222,18.32703
185003,9.493063e-05,103.8362,108.7063,41.20272,70.78741,149.222716208552,54.8597427261433,18.74158,17.88209,17.58707,17.4806,17.48238
230921,0.0007307736,7.909791,7.844662,3.031031,6.709261,177.400619739394,9.46356212808282,21.34467,20.57264,20.46966,20.47895,20.31031
345316,-0.0003505679,20.44449,21.72924,3.442528,9.584693,216.026361854708,38.2675040488,21.4638,19.97902,19.37281,19.13656,19.07896
247181,0.7843154,6.962071,14.13417,0.239067,0.4941095,225.342810082091,31.7847445779244,22.18629,23.27415,21.12074,19.74139,18.99128
239846,0.0002152598,41.22561,44.71566,8.059399,21.24853,167.886098817599,9.0752638174907,20.63904,19.20698,18.65152,18.54522,18.42323
145868,0.5609798,5.455328,8.842311,-0.06443742,0.299064,114.798411214174,30.4583242924627,24.63551,23.77703,21.14644,20.08131,19.51554
11748,2.914644,4.033342,3.750192,2.180302,3.617315,130.185868467169,1.03231871238443,21.56181,20.37947,20.1536,20.24696,20.07412
3346,1.481336e-05,96.60108,75.19151,180.9803,174.558,130.135110989455,-0.105910673752374,16.6401,16.83918,17.28077,17.606,17.88352
406897,5.573562e-05,8.953218,13.45249,0.5543565,1.413668,257.796159328492,22.8555347932928,23.17588,21.39562,20.3587,19.5663,19.25594
35234,-0.0008865487,14.843,16.12423,5.190411,9.582525,129.195740708314,49.4691493801652,21.04491,20.16054,19.80494,19.69458,19.55636
211241,1.530195,1.493539,1.798618,1.085234,1.077022,151.4150003103,42.9992205935561,21.826,21.9742,21.65318,21.59231,21.90531
118701,-0.0007130182,209.9256,206.6681,95.40276,149.6929,343.394829034461,-9.64274643317161,18.00817,17.02795,16.74856,16.65366,16.61896
104341,2.36533,8.659209,10.12438,5.749363,8.592463,41.2710211353874,-0.578342772689827,20.80192,20.22066,20.28009,20.26465,20.03317
499644,-0.0001609204,26.95333,81.13909,-0.1837137,0.5890588,196.579401196756,36.8578098353818,23.86449,22.77662,21.17861,19.13897,17.96304
307129,0.1988414,64.10131,82.1783,5.339068,14.13426,198.101682702225,43.7460521976614,19.55361,18.24098,17.20385,16.73386,16.38916
215402,0.0005710798,6.815172,12.1897,0.1665643,0.6814864,316.110974081486,9.82521434445536,24.13559,22.75664,21.15795,20.3606,19.94111
222641,-0.0001219311,7.971752,15.82948,0.2080424,0.6408675,167.350189895437,51.4229713978393,23.17616,23.45107,22.03357,20.51021,19.41271
449426,0.8316379,3.417796,7.361272,-0.1383897,0.06658199,170.055603278889,41.7075219104409,24.23088,24.6842,21.40535,20.07739,19.38742
378111,0.4949352,7.002057,10.52182,0.07106036,0.6614082,214.595966086994,50.1005328367939,24.69768,22.44309,20.81231,19.93529,19.53956
408968,1.397798,13.17629,14.08057,7.73016,8.770328,139.802076071815,66.7773338027644,19.99534,19.70164,19.34376,19.23334,19.21811
185101,1.396577,2.3615,2.743088,1.655888,1.21242,209.09509582172,58.9944835024755,22.04799,21.74613,21.36045,21.27684,21.35188
162129,0.5209485,13.5359,21.58585,0.1523162,0.9721919,156.098085380183,57.1433319298714,24.36208,22.32532,20.57503,19.64184,19.17048
111976,1.112029,4.871589,4.131514,1.707068,3.17348,119.779577990544,28.1075468253419,22.24083,22.16975,21.4584,21.48302,21.2178
456220,0.5084841,10.08524,14.65549,0.2652871,1.182232,158.886767107757,41.8013180079459,24.64159,21.87444,20.16929,19.38874,18.93538
282589,0.7387218,3.751988,7.010264,-0.1791321,0.04967085,236.287789672528,36.6586930989853,26.35306,24.23332,21.70401,20.49538,19.58541
421992,0.138608,88.20482,119.2653,5.53893,21.22449,142.53849038978,17.8091623407144,20.68249,18.57532,17.48494,17.06071,16.67619
337775,2.275505e-05,5.471334,4.94486,4.944957,5.828486,221.655730005367,31.6255924496911,21.0195,20.65231,20.59204,20.64361,20.74943
332704,0.9344789,6.963134,8.22589,2.788018,4.643126,236.275178768897,31.9533822097351,20.77604,20.4472,20.21845,20.23801,20.11372
430039,9.280173e-05,38.74846,42.24327,9.667547,23.80447,156.905317128608,38.283126673673,20.08592,18.83454,18.82449,18.81603,18.90764
22096,0.3551623,11.82735,17.83867,0.2626342,1.212583,125.871524959003,0.402749260045472,24.87169,21.80155,19.64918,19.04051,18.6694
422735,1.929512,6.106731,7.850654,3.805578,3.900126,23.355599601889,23.0268938000815,20.92007,20.67571,20.53972,20.26778,20.05633
306165,1.777458,2.961879,2.928914,1.990704,2.339243,181.11073573909,42.0264949513132,21.35433,21.42055,21.459,21.07384,21.63279
85890,-5.083716e-05,23.43705,24.98169,7.086277,13.08033,18.8305784922108,-9.20839860548928,20.64799,19.72942,19.19711,19.01995,18.84152
438230,9.494802e-05,203.5263,206.2433,75.96687,144.7554,211.971636136845,32.8845218669441,17.99455,17.07735,16.83087,16.74838,16.72061
445533,0.6018735,5.77162,6.205433,-0.131256,0.5936818,143.334372075969,22.7180033309991,22.15709,21.85437,20.68247,19.63792,19.58308
420236,0.0001114211,40.0357,40.93531,10.03273,23.46942,221.847326619479,8.23246725500339,19.84582,18.8298,18.53388,18.42311,18.37329
312374,0.5743929,10.48698,15.02622,1.055993,1.695056,178.131991691788,7.63265811937447,24.69946,21.28425,20.02408,19.23127,18.78575
490149,6.158156e-05,5.996614,9.833112,0.3855868,0.9318433,115.843812267456,49.1464268713619,24.7586,25.11138,23.07063,21.86252,19.83224
360440,2.36766,10.58272,12.9795,6.299199,10.54874,128.9157264718,23.2258039792097,21.24176,20.49804,20.52693,20.37509,20.07168
126563,-6.216862e-05,5.392013,26.11974,-0.07771653,-0.1496457,201.29623995968,5.28450895204819,23.89647,23.59455,22.14666,19.63625,17.77706
42826,0.1218524,41.97826,54.20521,4.842439,12.24296,122.332010945246,48.5794856313479,19.62625,18.19625,17.38759,16.95968,16.72066
387095,0.06788987,14.08247,18.1999,1.310493,4.018964,45.0528023918141,-0.0522856718466215,21.53093,19.74421,18.9483,18.55607,18.42689
206556,0.6270314,4.430429,7.422623,0.01389511,0.3512686,207.959346956174,11.6791215117471,23.19608,23.86773,21.66623,20.39533,20.0468
413682,1.02182,11.62159,12.98306,8.366109,8.696651,132.551868370557,32.6533249606802,20.30076,20.17869,19.96808,19.93535,19.81607
368039,1.086579,2.524596,3.310913,1.359786,1.771361,183.140376954193,37.7540391890947,21.80145,21.51854,21.3207,21.37281,20.91333
195431,0.06478371,139.2296,174.9238,12.07803,43.37569,164.003729556241,12.6529169174617,19.10154,17.28849,16.44223,16.04453,15.7258
415170,-0.0001532247,96.54189,98.7961,15.21792,47.72438,243.027217426058,30.9827492631349,19.73859,18.26487,17.67723,17.45938,17.3927
221793,3.662431,9.559342,10.23738,1.076408,2.671082,152.124090065277,6.04471923845895,24.21786,21.51826,20.46054,20.37705,20.43398
157877,0.7702498,3.9457,5.302943,2.999256,3.908668,132.991234802306,36.6386214108068,21.39687,20.79961,20.7153,20.64333,20.3295
44012,-4.29319e-05,5.008177,10.96176,0.009837816,0.3693694,121.813855880294,44.4836153450419,25.64532,23.8619,22.12269,20.606,19.91856
465293,-0.0001294727,311.9532,361.1698,31.8832,113.3113,91.7237743067426,63.4033230897117,19.17331,17.30727,16.54298,16.22889,16.07865
475266,2.628057,1.85239,2.272479,1.209801,1.493244,206.4530307763,33.2472563514644,21.98134,21.30398,21.09626,21.20489,20.89219
342565,0.6265529,6.56158,10.42693,-0.0110859,0.4657633,151.777676879035,39.4256785606587,24.56277,23.10482,21.22228,20.10141,19.5699
357816,0.5340267,10.42465,15.62328,-0.09283989,0.8068592,202.375466248437,44.0329145584813,23.52098,21.44893,20.08218,19.07828,18.75257
145624,0.2165907,40.98393,51.0943,3.865772,9.759608,179.044657195416,51.1628912043738,19.77361,18.5565,17.59657,17.14341,16.82899
423105,1.316366,4.939778,5.211743,3.951952,3.766781,29.342546511407,7.86196486538042,20.92654,20.87522,20.61369,20.57085,20.82367
289513,1.216237,23.4897,21.72706,14.67618,16.35109,178.173485044713,45.4516005713107,19.36894,19.26629,18.98953,18.99298,19.07185
306769,-9.721275e-05,12.99029,24.49025,0.1682892,0.9596761,215.004555384496,53.7504042667343,25.80007,22.43747,20.81986,19.65536,18.86262
265317,1.147567,3.306737,3.077411,1.657679,2.295398,138.420543219652,31.9817770196017,21.05777,21.04179,20.62145,20.7206,21.39207
226678,0.6210347,9.515555,15.50167,-0.130407,0.3962232,146.156346665078,49.9657130261871,23.87893,22.41234,20.56154,19.49441,18.95229
252568,0.1773805,41.42174,50.95681,5.363546,12.21648,326.428887900494,0.462372944781382,20.66057,19.2607,18.4266,17.97797,17.66313
44767,2.059389,4.988937,7.227767,1.647799,1.92318,125.355009827103,45.5089203945018,22.18796,21.92744,21.3604,21.08319,20.44186
152514,0.0002231305,18.70897,16.25673,16.93727,23.07955,128.795155097139,38.5561305139031,19.72276,18.78814,18.5022,18.40148,18.33373
217670,1.677313,2.979734,2.801551,1.80647,2.159412,160.076643998341,41.1823632650318,22.39221,22.05249,21.82516,21.57049,20.86063
476043,1.673552,10.07382,10.86477,4.359774,5.971031,21.6335197902667,0.602138442250439,21.01558,20.83869,20.78258,20.46174,20.58046
127044,-0.0004356113,83.37835,87.60113,28.40675,51.24609,260.715995038791,26.4417880960955,19.38285,18.15562,17.8607,17.72805,17.67289
122225,1.745502,4.865767,4.890817,3.557564,4.034722,143.655120618132,53.6296265155252,21.62053,21.47373,21.31101,21.01297,21.38621
371367,2.630616,29.43465,33.25189,16.7755,23.93489,185.006918398269,31.8976506750144,19.94241,19.32231,19.07809,19.00628,18.84826
294929,0.0001360878,8.173306,8.532483,3.188539,5.747454,139.759329909867,31.5349211629372,21.68705,20.71613,20.41125,20.25611,20.2261
166767,-0.00019409,282.353,362.6885,8.671525,56.21614,9.98151506463068,0.408473307339508,20.47702,18.11476,16.87918,16.34282,16.04123
430080,0.0003549991,936.6209,1052.556,137.7664,381.3202,228.959355858073,6.76870083764633,17.47539,15.98595,15.33811,15.05892,14.92939
359800,-0.0001117431,1179.885,1285.341,154.442,504.2881,144.591002741127,37.7739008405867,17.33125,15.74077,15.10682,14.8296,14.69898
48473,3.275204,3.811047,2.965809,1.767041,3.622156,200.478397403959,1.82233856626217,22.7526,20.90551,20.65361,20.57296,20.35915
168469,0.0001048461,2.142351,1.429473,1.290589,2.817313,206.628591534643,3.90822514308841,22.45626,21.30996,21.41866,21.51518,21.04065
16316,0.0003590788,24.91946,25.21647,10.33226,17.08545,127.038297202786,0.265269979432661,20.53318,19.45427,19.12617,19.05385,19.1683
211840,-0.000222854,65.00529,65.27819,24.19711,45.09715,137.260692652305,40.7487673045166,19.27851,18.42649,18.11666,17.99087,17.95844
407110,1.282683,4.490232,4.581178,2.811589,3.042132,131.316959730362,19.1490559464629,21.01703,20.99608,20.75491,20.805,20.54352
371784,0.02552338,31.06753,35.69022,12.92609,18.5354,215.225306517986,42.1846278783281,18.43763,17.43357,17.05579,16.86052,16.73922
106632,1.209955,26.10501,25.37466,15.63848,17.74265,166.654055602767,56.3309405778738,19.1723,19.12663,18.88738,18.81346,18.93205
379214,0.5135949,8.451741,13.7424,-0.1406819,0.540435,136.670967496119,22.3694167810808,25.57309,22.50097,20.79285,19.78181,19.26159
364818,2.029485,16.82075,21.51464,6.066498,8.409575,135.462176040162,33.7292328397902,20.4488,19.95987,19.73115,19.46234,19.43962
110392,1.665278,2.960278,2.443187,1.417281,2.266328,116.193193057448,27.4519469824845,21.43348,21.25567,21.22933,20.91192,20.81534
435199,2.102703,3.239976,4.32655,3.578644,2.7558,150.387864915438,33.4401322377871,21.72107,21.40142,21.24282,21.30667,20.92552
316344,0.6223074,5.809992,9.46493,-0.02321873,0.2616722,168.771855230746,35.6492589415634,25.27024,24.00632,21.36375,20.33273,19.62148
436876,0.6401622,5.33528,9.11201,-0.02271112,0.2471094,358.002339686835,7.57514891724028,26.25558,23.51013,21.1917,19.9872,19.36841
325220,2.777949,2.414466,2.719719,1.390425,2.051167,167.687754353017,37.8966352573808,25.18539,21.96043,22.17636,21.88595,21.78626
75545,0.8600812,7.003149,8.785047,5.883694,6.864154,1.6260845254499,-9.11003493554585,21.0702,20.62298,20.51417,20.39368,20.04601
18574,0.09488719,67.31983,81.91882,10.61523,23.6816,154.41691741556,0.391066558278766,19.13346,17.59563,16.87067,16.46856,16.23406
109312,-0.0002336609,5.194706,5.7184,1.044833,2.950582,244.458793867487,48.2026008577883,21.84111,21.10248,20.68801,20.53697,20.33755
363809,-0.0003556104,41.15254,62.02346,0.5093243,4.651261,222.607694488315,40.447522341141,22.81704,20.83446,19.31992,18.39954,17.92006
88861,-0.0007285351,6.696939,6.162929,1.733725,4.267512,255.006252267608,37.1548695704453,21.8035,21.01784,20.74621,20.68606,20.58028
397858,2.051363,10.50222,12.82044,9.229291,8.271154,173.998468871174,35.9242153308712,20.11762,20.25462,20.1773,19.98864,19.76435
125229,1.272038,2.284475,2.730469,1.644721,1.652259,132.129488758231,37.5234906018429,22.11587,21.9403,21.67943,21.57337,21.47152
423125,0.0003290895,5.60525,5.749157,2.087407,3.905013,232.45716581112,19.2381222447353,21.78372,21.07133,20.86721,20.72284,20.65068
324245,-0.0001192586,464.7988,484.1779,77.99163,234.3575,216.299423528843,8.13137203723521,17.94776,16.52593,15.96868,15.77816,15.68177
313024,-0.0001561035,8.531218,46.02138,-0.06229266,-0.006343635,251.158917887833,28.7707059961271,23.15318,24.33413,22.36809,19.93094,18.14593
7856,0.5200508,17.42609,24.677,0.958799,2.376632,179.477887987948,-0.995935283365494,22.13861,21.25361,19.5414,18.66664,18.21095
394997,2.185173,10.0459,12.15039,8.059218,8.758709,18.6195217080335,12.8347709641693,19.68084,19.33747,19.21046,19.20895,18.99734
487025,1.781572,7.299544,7.647985,3.423561,4.6179,190.690305991629,36.6779053586855,21.18512,21.13147,20.74929,20.4535,20.38821
135580,-0.0001172238,15.24632,32.38037,0.09365957,0.8243456,250.325197871153,41.8489523863228,25.00908,22.68985,22.28982,20.95816,18.87472
252956,2.375378,4.532382,6.002206,2.397562,4.169213,148.5708826382,44.7626521041294,21.52188,20.65868,20.53511,20.53606,20.49257
331719,0.6149635,4.229762,6.644942,0.08070743,0.267459,215.591762775309,53.3596208012828,23.74458,24.66473,21.75152,20.71291,20.04922
242744,-0.0001783952,18.43856,20.44848,1.794224,7.625614,34.2828487386005,-1.26141761200691,21.86962,20.42908,19.74839,19.39792,19.26056
271259,0.9364689,1.323015,3.488202,-0.189968,-0.05090207,177.080604690498,55.2079633220583,22.82162,23.52392,22.36325,21.08109,19.74902
302233,1.644074,16.98592,16.54832,11.55134,13.93173,41.5192126349174,-0.230188147189452,20.03997,19.84213,19.90671,19.70641,19.66282
161795,1.619222,5.203027,4.839341,1.956373,2.706286,133.494422144385,43.9614157489313,20.85805,20.5419,20.46399,20.06071,19.92618
316995,0.00043217,16.17642,16.98203,3.405652,7.218435,229.585415825555,7.13226708581014,21.42406,20.24762,19.67149,19.43887,19.33736
411747,0.6951797,1.346863,1.429576,0.1560358,0.3324269,128.858363200833,28.5380063944927,23.18769,23.14433,22.20698,21.48745,20.88008
289458,0.000681675,39.32291,65.0694,0.2481787,3.601056,171.258516067855,9.85484431880599,24.04903,20.97057,19.47198,18.46239,17.88022
3644,0.5293545,9.413526,14.3364,0.8723734,1.643883,129.237104559566,-0.0973123166459414,24.9397,22.13589,20.75786,19.78714,19.46323
7840,0.4887074,11.54874,18.51929,0.1668163,0.9300969,217.022943347197,-0.970766470345977,23.1708,21.39247,19.89022,18.96449,18.63421
283675,0.5769991,5.162823,8.568071,-0.0446326,0.3582641,230.581478865632,43.4400096309568,22.94058,22.91,21.04831,19.86421,19.53978
65742,0.5949025,7.01055,11.16122,0.01238666,0.6729662,156.93020890195,3.52504160762292,23.44187,21.16835,19.78871,18.8153,18.27535
85402,0.7038184,34.44851,42.59496,19.32757,32.0998,250.241466638492,43.8316419921448,19.16988,18.61436,18.57704,18.68183,18.52143
