,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,ra,dec,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,labels,class
720101,0.04176561,211.0624,270.2124,27.65211,68.16447,172.403167610458,58.4147744821732,17.65119,16.19225,15.48028,15.07126,14.76912,9.711058,8.463423,7.858062,7.413872,6.897483,0,GALAXY
611358,0.5449607,5.867898,8.633752,0.141082,0.6289437,199.887418237383,7.06685410890584,23.53895,22.43498,21.27702,20.18997,19.7226,2.97018,2.970268,2.326298,4.228559,5.542577,0,GALAXY
837882,0.3848096,29.68321,43.50418,0.4639005,2.423581,232.067101822763,41.4262653103324,22.80337,20.67008,18.86577,18.21072,17.74936,0.7429162,3.554276,3.086378,3.087934,2.803755,0,GALAXY
794051,0.04328736,124.8881,170.9232,16.91571,42.22997,228.778932181303,7.31495617849546,17.69275,16.33943,15.66963,15.29004,15.00101,8.673613,8.267487,8.356886,8.079808,7.897763,0,GALAXY
270451,2.358684e-05,21.59204,52.44976,-0.04358302,0.5635744,137.473466961211,44.8417601299626,24.68263,22.54787,21.00658,19.11663,18.04625,4.584054,1.192852,1.48467,4.231565,1.220293,0,STAR
1146734,2.390545,7.753982,9.892126,5.047913,6.636511,203.499081847269,37.4189206594801,21.16068,20.49077,20.41849,20.11975,19.70604,1.532881,1.543416,6.066643,1.001788,2.787706,0,QSO
156568,-2.665397e-05,7.635481,18.3383,0.06411655,0.2120987,158.900113875418,52.326090301301,23.79151,23.14112,22.05466,20.26285,19.41362,2.970479,1.215779,1.628119,1.329925,1.262457,0,STAR
1141034,1.783469,2.58695,2.49578,1.452178,1.660592,195.282334550953,46.6763264342551,22.16136,21.6055,21.58365,21.32786,21.14832,1.538204,1.740403,2.049947,1.589015,0.6580503,0,QSO
846981,0.7670893,13.75321,19.60191,0.7684895,2.141487,215.390636753122,39.0422442051195,22.44232,21.33083,20.25635,19.32051,18.99281,1.390935,2.381192,2.250264,1.873045,3.598748,0,GALAXY
1187864,1.087736,4.318641,4.949931,2.510046,2.919773,126.105203669985,57.9081962725094,22.01328,21.8072,21.50706,21.35434,21.24049,0.9196429,1.254104,1.412821,1.010502,4.583313,0,QSO
162738,-0.000519759,232.7134,222.0718,218.2584,277.46,174.028581214154,62.7204084996849,17.61927,16.36659,16.51864,16.59891,16.63931,1.878615,1.720238,1.551711,1.409113,1.474558,0,STAR
1015689,1.526363,6.072909,4.638045,3.409046,3.88065,168.963497870234,47.8991524986587,21.68197,21.34301,21.08756,20.74694,21.13402,2.246906,1.558854,1.272737,1.406085,18.02122,0,QSO
576307,0.07399607,158.4366,207.7103,11.69664,44.25285,175.79281298433,5.43534777295362,19.52833,17.60671,16.73396,16.28526,15.92722,4.884456,3.89059,3.486983,3.316983,3.490468,0,GALAXY
754834,0.2400811,32.51207,44.11153,1.939159,5.555505,211.104495826255,50.450508628111,23.12271,19.78786,18.31281,17.76285,17.45218,2.970531,7.213331,4.007722,4.187839,3.594824,0,GALAXY
1136546,1.616611,4.498062,4.296551,3.544542,4.000166,218.293926567157,55.4164237040622,22.48158,21.88908,22.6064,22.255,21.27003,1.08143,2.547631,2.969975,2.969833,1.07603,0,QSO
958928,2.472369,8.059499,11.16056,2.729748,4.632826,258.82321371085,29.4191424746493,21.18563,20.42908,20.21103,20.12994,19.79086,1.463062,5.36569,1.195127,1.092624,1.197582,0,QSO
29450,7.698235e-05,4.152413,4.395663,2.461135,2.82334,118.557769846462,45.6697147005954,24.63466,21.43013,21.24287,20.1976,22.8269,2.969328,1.375254,1.254536,1.506238,2.969083,0,STAR
1288329,0.8372586,11.8552,13.35508,11.36475,13.24984,191.806267997274,33.8921283667428,20.46618,20.03081,20.04719,20.07159,19.89482,1.558357,1.495708,1.312882,1.478941,2.766732,0,QSO
575345,0.149836,76.46471,103.8252,5.617626,17.27743,171.601786566214,5.33453637698858,20.47088,18.40932,17.20159,16.73809,16.36372,27.91886,4.836552,5.254735,5.024477,4.880319,0,GALAXY
287063,0.0001144508,19.56239,14.51145,54.89336,44.84177,162.597879520035,52.7607745077001,18.23107,18.40442,18.81449,19.21143,19.59759,1.500825,1.399419,1.302243,1.32348,1.19619,0,STAR
