,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
370955,0.09006466,127.8888,180.3498,6.558736,26.5898,206.553929410663,16.2193388265197,19.96785,18.1011,16.98714,16.49795,16.11929,3.45308,3.399816,3.225969,3.233407,2.886114
176161,0.6948786,3.744775,5.286611,0.1783553,0.5964916,134.994544135314,46.5230527772794,23.50501,23.14725,21.48604,20.47824,19.76878,2.970206,2.96993,2.675691,1.657648,4.692616
419890,2.222804,11.49693,14.00995,5.360801,7.398961,112.735148436416,32.4107257845309,21.23794,20.47392,20.07825,19.95716,19.74797,1.421546,1.398859,1.245399,1.039626,1.245609
232179,3.131177e-05,16.2454,40.54748,0.2892919,0.472355,137.67629983367,38.8688943153793,23.45589,22.82965,21.42657,19.50207,18.42435,1.391389,1.019964,1.355755,1.025157,1.028613
397857,0.959045,1.862041,2.588986,0.6725808,0.922309,150.864880869063,21.4435001249809,21.75217,22.06739,21.61476,21.0171,20.7624,11.30664,2.068731,1.975171,1.456296,11.30761
215943,0.0002617048,2.21979,2.02465,0.6129099,1.878659,146.149597267579,9.0006386376774,23.24913,21.63864,21.6668,21.6562,21.24351,2.970521,1.739835,1.316322,1.258258,2.703038
244128,0.5815333,8.548146,13.54405,0.3235325,0.9044294,146.294282677021,40.0097724338873,22.60063,21.66809,20.30899,19.3551,18.91613,27.9261,2.970437,2.999672,3.478408,2.047623
73819,0.3119772,36.73614,48.9517,18.31324,19.52916,172.826790769216,58.3115759622402,20.11393,19.65839,18.89376,18.52517,18.20212,2.13617,2.191027,2.247961,2.676786,2.431919
412546,0.1370175,44.77158,62.56186,5.235699,9.292937,114.798430624422,46.2496159441975,20.83252,19.09785,18.07959,17.55919,17.15707,6.927991,4.842503,4.510351,3.902774,4.144014
348754,0.5001861,6.63703,10.44304,0.1665907,0.6583942,131.92321490727,29.7970575149335,22.58811,21.86803,20.5294,19.71794,19.22842,1.233644,2.969949,3.080392,2.947008,3.067593
170227,1.610618,31.69739,32.4605,27.37946,29.02365,239.804003635626,45.2708276983217,19.25312,19.02069,19.00937,18.75582,18.76502,1.239748,1.162849,1.17289,7.946813,1.18608
141915,2.385931,4.494661,5.838739,1.403908,3.660038,244.062972249596,35.8677217589527,20.98566,20.27688,20.37552,20.32992,20.09461,2.726216,1.823487,1.467175,1.567421,2.439587
219547,-0.0001756549,160.6758,169.8255,25.04395,72.37071,127.726133960661,25.8051752768453,19.06311,17.73412,17.1877,16.9491,16.86576,1.780116,1.73213,1.570004,1.397492,1.349646
88261,-0.0005304047,6.38594,6.197523,3.075088,5.323401,255.685824407028,32.4739490456488,21.50479,20.53541,20.39104,20.3038,20.05865,4.145663,1.254172,1.203246,1.040344,3.333768
92303,1.85011,2.290696,2.513014,0.6601941,1.148069,327.360016864194,-0.976339187278575,22.26272,22.06919,21.94937,21.57419,21.24402,2.209372,1.581994,1.495479,0.9756426,1.21999
307312,2.193764,0.5986648,0.9151447,0.2328035,0.7968658,241.221586863457,5.39249474849296,22.66721,21.87974,22.02942,22.13735,21.78466,43.76955,1.107257,1.306309,0.7896446,1.759563
435317,0.1315593,67.17548,89.01578,4.829947,16.21716,188.721234503538,17.4333535450227,20.59185,18.47276,17.39939,16.96106,16.56379,4.590071,5.415444,5.126488,4.785216,4.190915
65636,-0.0007406642,96.50544,98.67495,21.64205,55.58256,132.931489544002,48.015068022223,18.92766,18.04635,17.80144,17.71347,17.72117,1.71869,1.636335,1.543509,1.413903,1.43653
317588,0.3775921,4.086143,5.26026,0.8253173,1.371759,180.594625486404,56.3046284828709,23.99302,22.27227,22.74527,22.28569,20.79523,0.4969272,1.176982,0.566166,0.6270174,1.871149
372195,-2.313602e-05,21.35789,34.5229,0.5075853,2.1285,25.5518760852507,-0.0676217338353486,24.99944,21.66843,20.12058,19.3454,18.87643,4.584717,1.214656,0.9822748,0.9116813,1.03067
