,label
100819,singlePeak
72243,singlePeak
49408,singlePeak
16491,singlePeak
48848,doublePeak
66336,singlePeak
76420,doublePeak
130150,singlePeak
54794,singlePeak
72218,singlePeak
67499,singlePeak
75744,doublePeak
11497,doublePeak
106613,singlePeak
140066,singlePeak
77670,doublePeak
103630,singlePeak
43541,singlePeak
38841,singlePeak
33594,singlePeak
125757,doublePeak
123154,singlePeak
40386,singlePeak
75684,singlePeak
48039,singlePeak
58951,doublePeak
56404,doublePeak
23550,doublePeak
100068,doublePeak
63269,singlePeak
115535,singlePeak
46902,singlePeak
88158,singlePeak
14658,singlePeak
40801,singlePeak
16485,singlePeak
120607,singlePeak
79327,doublePeak
33854,singlePeak
67162,singlePeak
11406,doublePeak
125550,singlePeak
107500,singlePeak
9238,doublePeak
50142,singlePeak
21809,doublePeak
32366,singlePeak
4938,singlePeak
92900,singlePeak
36169,singlePeak
65180,singlePeak
85743,singlePeak
109869,doublePeak
69848,doublePeak
3251,singlePeak
51899,singlePeak
126834,singlePeak
29848,singlePeak
76296,singlePeak
107142,singlePeak
113263,doublePeak
114193,doublePeak
38933,singlePeak
10896,doublePeak
85031,doublePeak
116486,doublePeak
68136,singlePeak
3635,singlePeak
100856,doublePeak
139402,doublePeak
137030,singlePeak
74572,singlePeak
78724,singlePeak
49486,doublePeak
70521,doublePeak
118147,doublePeak
60592,singlePeak
93860,doublePeak
89563,singlePeak
62862,singlePeak
8116,singlePeak
75334,singlePeak
53714,doublePeak
53571,doublePeak
129869,singlePeak
102200,singlePeak
123502,singlePeak
40807,singlePeak
95223,doublePeak
50268,singlePeak
134995,singlePeak
136784,singlePeak
126661,singlePeak
20188,singlePeak
141740,doublePeak
100753,singlePeak
69614,singlePeak
54211,singlePeak
143548,singlePeak
74327,singlePeak
41642,singlePeak
56325,doublePeak
126676,singlePeak
110474,singlePeak
41501,singlePeak
130255,singlePeak
67263,singlePeak
24166,doublePeak
30760,singlePeak
75180,singlePeak
131354,doublePeak
9577,doublePeak
46846,doublePeak
127633,singlePeak
40359,doublePeak
4243,singlePeak
59037,doublePeak
143393,singlePeak
9154,doublePeak
34322,singlePeak
33736,singlePeak
106436,doublePeak
76444,singlePeak
53899,doublePeak
91830,doublePeak
68329,singlePeak
73648,singlePeak
61897,singlePeak
34548,doublePeak
127394,doublePeak
49360,singlePeak
75834,singlePeak
76256,doublePeak
92024,singlePeak
62068,singlePeak
49961,singlePeak
76014,doublePeak
2274,singlePeak
137815,singlePeak
92169,singlePeak
14152,singlePeak
127124,singlePeak
62849,singlePeak
59650,singlePeak
6426,singlePeak
57056,singlePeak
25046,doublePeak
125413,doublePeak
8624,singlePeak
33561,singlePeak
40039,singlePeak
46737,doublePeak
101900,singlePeak
11619,doublePeak
90569,doublePeak
114680,singlePeak
125406,doublePeak
