,class
519057,STAR
1093138,GALAXY
1173764,GALAXY
1326681,GALAXY
1437513,GALAXY
1254753,GALAXY
1215533,GALAXY
185603,QSO
1216815,GALAXY
1272711,GALAXY
481683,QSO
603433,STAR
707805,STAR
977285,STAR
430216,QSO
727255,STAR
205046,QSO
1257257,GALAXY
1488698,GALAXY
491184,QSO
1135019,GALAXY
667414,STAR
850234,STAR
1337007,GALAXY
142753,QSO
3672,QSO
1076649,GALAXY
768235,STAR
822240,STAR
1483263,GALAXY
914780,STAR
1099411,GALAXY
34010,QSO
842183,STAR
420100,QSO
1004538,GALAXY
786095,STAR
837344,STAR
75026,QSO
758124,STAR
564617,STAR
1457479,GALAXY
166649,QSO
1330186,GALAXY
1068813,GALAXY
676277,STAR
738318,STAR
1024524,GALAXY
1342791,GALAXY
1036289,GALAXY
166547,QSO
924056,STAR
466776,QSO
203905,QSO
1060562,GALAXY
861767,STAR
528043,STAR
1013204,GALAXY
467130,QSO
760585,STAR
397968,QSO
1104741,GALAXY
914757,STAR
901960,STAR
246505,QSO
889946,STAR
1347235,GALAXY
329874,QSO
896280,STAR
974995,STAR
160789,QSO
1140973,GALAXY
217645,QSO
588663,STAR
665673,STAR
757108,STAR
618586,STAR
1005574,GALAXY
619304,STAR
13222,QSO
198070,QSO
1283823,GALAXY
205296,QSO
733551,STAR
462356,QSO
1215137,GALAXY
133202,QSO
1381298,GALAXY
1272865,GALAXY
793070,STAR
155283,QSO
1218780,GALAXY
1227464,GALAXY
1252952,GALAXY
92899,QSO
257883,QSO
1296590,GALAXY
815883,STAR
396699,QSO
556731,STAR
1262800,GALAXY
133911,QSO
718274,STAR
1027921,GALAXY
256320,QSO
1464488,GALAXY
1393815,GALAXY
1399021,GALAXY
1175548,GALAXY
177355,QSO
747542,STAR
1012945,GALAXY
327156,QSO
380483,QSO
1005373,GALAXY
1008208,GALAXY
1360453,GALAXY
1397053,GALAXY
1146324,GALAXY
620357,STAR
1028874,GALAXY
47292,QSO
203599,QSO
1088580,GALAXY
1493570,GALAXY
633213,STAR
149204,QSO
1314983,GALAXY
149209,QSO
748410,STAR
1468948,GALAXY
1400606,GALAXY
1252941,GALAXY
705289,STAR
754322,STAR
1269634,GALAXY
995402,STAR
543256,STAR
2859,QSO
421290,QSO
1228831,GALAXY
133053,QSO
778009,STAR
867223,STAR
320998,QSO
845802,STAR
799058,STAR
1456204,GALAXY
1087084,GALAXY
924729,STAR
1178150,GALAXY
90294,QSO
1426503,GALAXY
1157514,GALAXY
661584,STAR
963213,STAR
1145154,GALAXY
590006,STAR
662738,STAR
816791,STAR
419409,QSO
331207,QSO
1397895,GALAXY
127534,QSO
757709,STAR
247749,QSO
186538,QSO
466747,QSO
1365145,GALAXY
1036939,GALAXY
837546,STAR
1162255,GALAXY
1416000,GALAXY
286342,QSO
1229388,GALAXY
493012,QSO
317499,QSO
1127336,GALAXY
217110,QSO
711177,STAR
338431,QSO
1058829,GALAXY
811857,STAR
419849,QSO
943155,STAR
1442769,GALAXY
