,class
207668,QSO
1194620,GALAXY
832915,STAR
1388964,GALAXY
794719,STAR
47974,QSO
929177,STAR
1125813,GALAXY
444940,QSO
366019,QSO
1314858,GALAXY
1282754,GALAXY
1067650,GALAXY
968148,STAR
1044422,GALAXY
1222613,GALAXY
113715,QSO
1380419,GALAXY
844518,STAR
1442654,GALAXY
456862,QSO
905580,STAR
946546,STAR
153607,QSO
1083163,GALAXY
643441,STAR
438669,QSO
1338119,GALAXY
1353774,GALAXY
915431,STAR
108617,QSO
1424964,GALAXY
487482,QSO
874059,STAR
793406,STAR
680989,STAR
1205069,GALAXY
1345485,GALAXY
1286599,GALAXY
1380192,GALAXY
1095385,GALAXY
226817,QSO
284649,QSO
617556,STAR
1151982,GALAXY
1310682,GALAXY
757552,STAR
576868,STAR
1488023,GALAXY
726486,STAR
212204,QSO
1272368,GALAXY
661456,STAR
276565,QSO
1330594,GALAXY
412784,QSO
1108684,GALAXY
340416,QSO
395697,QSO
498778,STAR
218395,QSO
251486,QSO
616687,STAR
949953,STAR
1166762,GALAXY
76180,QSO
814275,STAR
1323967,GALAXY
1158502,GALAXY
224122,QSO
333318,QSO
998591,GALAXY
173994,QSO
652458,STAR
1185924,GALAXY
1223014,GALAXY
926494,STAR
373436,QSO
180868,QSO
551695,STAR
273443,QSO
1041002,GALAXY
444688,QSO
616950,STAR
29842,QSO
1161953,GALAXY
961193,STAR
301775,QSO
610466,STAR
392458,QSO
1039194,GALAXY
497315,QSO
1252845,GALAXY
1305207,GALAXY
979995,STAR
1127744,GALAXY
1153174,GALAXY
588586,STAR
1370728,GALAXY
414694,QSO
1444389,GALAXY
1300660,GALAXY
9207,QSO
922685,STAR
424265,QSO
546913,STAR
451138,QSO
1320349,GALAXY
238968,QSO
285762,QSO
592180,STAR
15954,QSO
222827,QSO
848834,STAR
862039,STAR
123716,QSO
703062,STAR
439179,QSO
113472,QSO
743631,STAR
1271074,GALAXY
1116719,GALAXY
789257,STAR
634254,STAR
791009,STAR
534160,STAR
658209,STAR
1371068,GALAXY
1091723,GALAXY
821320,STAR
380899,QSO
1327594,GALAXY
565755,STAR
473341,QSO
925117,STAR
478931,QSO
876198,STAR
232325,QSO
836302,STAR
203837,QSO
227463,QSO
1453085,GALAXY
995217,STAR
259420,QSO
1023439,GALAXY
115604,QSO
1141992,GALAXY
1100711,GALAXY
641259,STAR
1187212,GALAXY
1414209,GALAXY
1337246,GALAXY
1462074,GALAXY
