,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z
179245,QSO,2.504363,17.74486,22.74453,12.47718,17.17868,19.59258,18.82659,18.68716,18.65579,18.44002,1.545692,1.427357,1.248278,1.253675,1.515047
1035850,GALAXY,0.1481394,78.45709,102.5783,5.204466,18.10989,20.84225,18.83765,17.70952,17.29338,16.94944,5.276454,2.58236,2.705355,2.528906,2.685403
424597,QSO,1.924678,20.19954,23.0542,13.45771,13.63659,19.73108,19.55121,19.42893,19.19632,19.06203,2.026517,1.829133,7.818944,1.645618,1.771349
764569,STAR,-0.0003095503,62.23421,71.86317,3.808124,20.42887,21.1536,19.19711,18.34705,17.99681,17.80979,1.439958,1.114858,0.9758045,0.9201293,1.075568
502334,STAR,2.261809e-06,54.14144,102.1276,1.03139,4.653269,23.06767,20.76876,19.30598,18.1399,17.50117,2.287335,1.524238,1.440244,1.340778,1.287053
383255,QSO,1.832171,4.492577,4.067317,2.520658,3.130949,21.22247,21.18056,21.1073,20.73025,20.86382,1.67737,1.144821,1.137729,44.02883,1.675331
1137708,GALAXY,0.1499144,6.315658,6.918533,1.521096,2.78929,22.31255,21.35715,20.83962,20.50173,20.23571,1.46891,1.62204,1.702783,1.447547,11.30654
1109819,GALAXY,0.480336,10.14162,15.90684,0.1313401,0.8970591,23.9839,22.13413,20.14071,19.24256,18.72825,2.969442,7.358349,3.382193,4.939592,4.300408
274732,QSO,1.506501,15.37646,23.08196,0.951906,3.694132,22.28703,21.35996,20.51188,19.79168,19.38294,2.237893,2.386682,1.112563,1.01278,1.20012
588115,STAR,1.212725e-05,5.798168,10.55532,-0.06715328,0.5001727,23.63333,23.18314,21.70355,20.49595,19.80203,0.386015,2.97047,2.296796,3.400901,1.093346
764713,STAR,-2.253592e-05,668.8882,712.865,136.5713,347.2951,17.52883,16.1059,15.59308,15.41397,15.3665,1.286349,1.259478,1.157212,1.059776,1.079755
905550,GALAXY,0.1559903,76.83764,102.4926,6.550194,18.37681,19.67358,18.12401,17.10375,16.65118,16.30705,5.749733,6.393412,5.887779,5.331528,5.404517
1066275,GALAXY,0.2350371,3.310002,3.682331,0.8078775,1.471416,23.64937,21.80914,21.45264,20.91511,20.498,0.8375788,2.97052,2.543653,3.603168,2.352448
321681,QSO,2.537498,5.87485,6.864914,3.286921,5.353525,22.0556,21.08278,20.9706,21.10105,20.41491,1.278046,1.208412,3.989002,2.962246,1.053473
799862,STAR,-1.846873e-05,5.823343,10.8062,0.254329,0.7826102,24.45196,23.20068,21.90219,20.62731,19.96085,0.7659049,2.969876,1.137193,1.413428,1.385982
975077,GALAXY,0.5136814,5.99538,9.140904,-0.05333257,0.4982394,22.90264,22.1266,20.3894,19.4822,19.02329,11.30771,2.969454,4.379979,5.009831,3.585802
