,class
335845,QSO
290354,QSO
363272,QSO
1169581,GALAXY
826419,STAR
774537,STAR
832040,STAR
935482,GALAXY
1259816,GALAXY
80801,QSO
131493,QSO
413272,QSO
658514,STAR
865085,STAR
705178,STAR
65939,QSO
527819,STAR
475529,STAR
465744,STAR
445205,STAR
521870,STAR
823754,STAR
427908,QSO
1284580,GALAXY
888185,GALAXY
467059,STAR
217813,QSO
856211,STAR
508585,STAR
62774,QSO
229686,QSO
1188053,GALAXY
986134,GALAXY
597929,STAR
771367,STAR
1184054,GALAXY
711473,STAR
834216,STAR
973943,GALAXY
58709,QSO
649760,STAR
276881,QSO
592364,STAR
529004,STAR
271224,QSO
1237891,GALAXY
1296113,GALAXY
405057,QSO
1106368,GALAXY
498595,STAR
309957,QSO
232571,QSO
677446,STAR
836673,STAR
723209,STAR
1293261,GALAXY
620472,STAR
471132,STAR
1186563,GALAXY
290029,QSO
61653,QSO
405613,QSO
607695,STAR
719842,STAR
129979,QSO
822861,STAR
1291312,GALAXY
1199433,GALAXY
223629,QSO
976294,GALAXY
54902,QSO
667210,STAR
1021416,GALAXY
1019951,GALAXY
1154111,GALAXY
404690,QSO
1287262,GALAXY
432916,QSO
1029865,GALAXY
1106618,GALAXY
501765,STAR
64686,QSO
276005,QSO
804192,STAR
850330,STAR
774834,STAR
954713,GALAXY
997082,GALAXY
337742,QSO
1009324,GALAXY
699134,STAR
258429,QSO
719855,STAR
831677,STAR
1004703,GALAXY
1109588,GALAXY
1270219,GALAXY
860579,STAR
507897,STAR
127812,QSO
539601,STAR
485620,STAR
333101,QSO
428794,QSO
421931,QSO
989883,GALAXY
545026,STAR
724601,STAR
107537,QSO
518782,STAR
1088980,GALAXY
1253719,GALAXY
1179289,GALAXY
1125302,GALAXY
892551,GALAXY
595388,STAR
41620,QSO
427925,QSO
1123969,GALAXY
180522,QSO
1046034,GALAXY
1142378,GALAXY
934129,GALAXY
591735,STAR
134659,QSO
1261727,GALAXY
802083,STAR
916415,GALAXY
652965,STAR
1172860,GALAXY
420688,QSO
268226,QSO
1110095,GALAXY
648942,STAR
747131,STAR
735446,STAR
417951,QSO
471324,STAR
632993,STAR
605976,STAR
275653,QSO
1299609,GALAXY
23714,QSO
859749,STAR
256157,QSO
381096,QSO
432948,QSO
1669,QSO
176233,QSO
709117,STAR
1157551,GALAXY
515461,STAR
692220,STAR
79151,QSO
207607,QSO
1203303,GALAXY
769907,STAR
697453,STAR
1099149,GALAXY
98082,QSO
849325,STAR
1063903,GALAXY
911069,GALAXY
878749,GALAXY
28589,QSO
848551,STAR
1113119,GALAXY
977072,GALAXY
832922,STAR
244627,QSO
765658,STAR
815186,STAR
1157630,GALAXY
62544,QSO
576120,STAR
493869,STAR
1168949,GALAXY
778887,STAR
879092,GALAXY
1038708,GALAXY
622090,STAR
598113,STAR
701314,STAR
357516,QSO
284681,QSO
624851,STAR
1237817,GALAXY
1317696,GALAXY
1021978,GALAXY
1191738,GALAXY
1317574,GALAXY
1129314,GALAXY
788215,STAR
847949,STAR
1073930,GALAXY
1144825,GALAXY
404330,QSO
1008376,GALAXY
871009,STAR
895444,GALAXY
272808,QSO
258088,QSO
726426,STAR
1000816,GALAXY
1255478,GALAXY
225354,QSO
875285,STAR
624197,STAR
685762,STAR
1242808,GALAXY
321983,QSO
690547,STAR
522194,STAR
341851,QSO
882630,GALAXY
465010,STAR
951505,GALAXY
953834,GALAXY
215607,QSO
858601,STAR
825390,STAR
360270,QSO
242638,QSO
63679,QSO
1006166,GALAXY
1157218,GALAXY
302783,QSO
925070,GALAXY
932462,GALAXY
1166831,GALAXY
1012237,GALAXY
940874,GALAXY
1104333,GALAXY
346380,QSO
1067969,GALAXY
1225186,GALAXY
420251,QSO
369990,QSO
927991,GALAXY
1041893,GALAXY
60631,QSO
986574,GALAXY
257668,QSO
176300,QSO
1087711,GALAXY
1045336,GALAXY
1051570,GALAXY
124745,QSO
754966,STAR
1195883,GALAXY
1603,QSO
442790,STAR
758787,STAR
227763,QSO
1246095,GALAXY
236262,QSO
501435,STAR
201892,QSO
803217,STAR
920111,GALAXY
252127,QSO
1261161,GALAXY
424016,QSO
386925,QSO
248779,QSO
55753,QSO
680507,STAR
1113149,GALAXY
116452,QSO
1273049,GALAXY
533891,STAR
507281,STAR
881518,GALAXY
1308029,GALAXY
566440,STAR
1104438,GALAXY
898704,GALAXY
369933,QSO
868721,STAR
823484,STAR
122585,QSO
72412,QSO
21493,QSO
1059745,GALAXY
1182137,GALAXY
1121120,GALAXY
13796,QSO
74667,QSO
348438,QSO
204113,QSO
27996,QSO
1189349,GALAXY
404752,QSO
306242,QSO
1129456,GALAXY
476950,STAR
157588,QSO
500466,STAR
173027,QSO
1224868,GALAXY
699782,STAR
795855,STAR
350549,QSO
381058,QSO
184712,QSO
1004599,GALAXY
1105310,GALAXY
230061,QSO
270911,QSO
1166505,GALAXY
935975,GALAXY
336788,QSO
247870,QSO
803372,STAR
883810,GALAXY
393786,QSO
257554,QSO
1181784,GALAXY
354330,QSO
56883,QSO
1106722,GALAXY
290278,QSO
1057039,GALAXY
1106493,GALAXY
478985,STAR
865042,STAR
732071,STAR
297650,QSO
18513,QSO
1284242,GALAXY
1297071,GALAXY
197228,QSO
1169240,GALAXY
83081,QSO
579936,STAR
530258,STAR
801237,STAR
616179,STAR
1021220,GALAXY
492414,STAR
238769,QSO
173190,QSO
1164459,GALAXY
141651,QSO
1245952,GALAXY
508774,STAR
1158697,GALAXY
958882,GALAXY
21263,QSO
685498,STAR
35043,QSO
878864,GALAXY
71223,QSO
187768,QSO
1229099,GALAXY
1189543,GALAXY
346717,QSO
431018,QSO
1307996,GALAXY
243619,QSO
382935,QSO
480912,STAR
671846,STAR
284151,QSO
567394,STAR
1111663,GALAXY
1179001,GALAXY
774447,STAR
869283,STAR
307723,QSO
1150575,GALAXY
216393,QSO
895653,GALAXY
467575,STAR
199904,QSO
1011834,GALAXY
615778,STAR
349576,QSO
165156,QSO
1058865,GALAXY
702930,STAR
122609,QSO
335654,QSO
220481,QSO
590129,STAR
529659,STAR
177066,QSO
1239200,GALAXY
378473,QSO
1101526,GALAXY
727387,STAR
983431,GALAXY
930810,GALAXY
1254080,GALAXY
795341,STAR
789186,STAR
712350,STAR
1276449,GALAXY
1215192,GALAXY
589357,STAR
825574,STAR
418703,QSO
281600,QSO
653900,STAR
408854,QSO
669273,STAR
13070,QSO
403630,QSO
386373,QSO
361171,QSO
1245024,GALAXY
72864,QSO
393668,QSO
333505,QSO
1318349,GALAXY
686045,STAR
901221,GALAXY
783728,STAR
729381,STAR
31324,QSO
1227042,GALAXY
698143,STAR
1180274,GALAXY
1260242,GALAXY
219863,QSO
1124719,GALAXY
167641,QSO
63250,QSO
736368,STAR
1274004,GALAXY
606903,STAR
1292158,GALAXY
752034,STAR
359326,QSO
882848,GALAXY
189699,QSO
526044,STAR
1177680,GALAXY
325362,QSO
325676,QSO
750366,STAR
791384,STAR
740149,STAR
1300988,GALAXY
775756,STAR
492592,STAR
808524,STAR
322243,QSO
857377,STAR
788583,STAR
1261775,GALAXY
1216386,GALAXY
529255,STAR
300869,QSO
378841,QSO
489461,STAR
1263704,GALAXY
805143,STAR
487635,STAR
609719,STAR
607981,STAR
904728,GALAXY
796634,STAR
1215805,GALAXY
891108,GALAXY
645666,STAR
1011958,GALAXY
200681,QSO
571771,STAR
1063298,GALAXY
1032552,GALAXY
37252,QSO
1057645,GALAXY
1039353,GALAXY
694598,STAR
759706,STAR
343180,QSO
112603,QSO
305389,QSO
928203,GALAXY
606456,STAR
138810,QSO
1077046,GALAXY
828692,STAR
685143,STAR
332647,QSO
1165222,GALAXY
586214,STAR
747769,STAR
669632,STAR
1188649,GALAXY
666524,STAR
909437,GALAXY
1219241,GALAXY
741843,STAR
277105,QSO
1143681,GALAXY
1209962,GALAXY
910602,GALAXY
924830,GALAXY
36888,QSO
1107942,GALAXY
642251,STAR
488519,STAR
830301,STAR
1295836,GALAXY
722198,STAR
587947,STAR
226476,QSO
1041752,GALAXY
406324,QSO
814229,STAR
84289,QSO
620089,STAR
874069,STAR
137226,QSO
1202697,GALAXY
430722,QSO
493346,STAR
1188741,GALAXY
865610,STAR
378240,QSO
532297,STAR
195240,QSO
1006417,GALAXY
186707,QSO
994185,GALAXY
1270459,GALAXY
933293,GALAXY
517229,STAR
746320,STAR
270387,QSO
553785,STAR
244292,QSO
552279,STAR
1102643,GALAXY
126834,QSO
1271598,GALAXY
939672,GALAXY
1017203,GALAXY
453251,STAR
328889,QSO
886964,GALAXY
434382,QSO
1099477,GALAXY
1205359,GALAXY
511843,STAR
373835,QSO
833087,STAR
1183968,GALAXY
1011908,GALAXY
904972,GALAXY
612123,STAR
223540,QSO
8656,QSO
524640,STAR
25165,QSO
835854,STAR
936187,GALAXY
885990,GALAXY
696020,STAR
1161921,GALAXY
949456,GALAXY
160166,QSO
969539,GALAXY
292323,QSO
520054,STAR
455142,STAR
900332,GALAXY
507699,STAR
116259,QSO
1167792,GALAXY
1303879,GALAXY
36540,QSO
1044225,GALAXY
1057717,GALAXY
666601,STAR
653419,STAR
1144163,GALAXY
1006589,GALAXY
1070345,GALAXY
573790,STAR
1114226,GALAXY
684256,STAR
1196676,GALAXY
33692,QSO
1202990,GALAXY
324528,QSO
475448,STAR
1303826,GALAXY
49800,QSO
532898,STAR
1044530,GALAXY
666765,STAR
658656,STAR
1310355,GALAXY
48926,QSO
466762,STAR
1243323,GALAXY
762170,STAR
391283,QSO
357480,QSO
863831,STAR
760576,STAR
512919,STAR
240287,QSO
196,QSO
537331,STAR
764980,STAR
938734,GALAXY
1206212,GALAXY
789586,STAR
964501,GALAXY
56737,QSO
135949,QSO
4313,QSO
543653,STAR
911064,GALAXY
236847,QSO
1199207,GALAXY
514203,STAR
1266985,GALAXY
406121,QSO
393494,QSO
1062863,GALAXY
32475,QSO
838247,STAR
130431,QSO
1281646,GALAXY
898985,GALAXY
847552,STAR
390737,QSO
96370,QSO
1080062,GALAXY
190872,QSO
49654,QSO
1192205,GALAXY
593707,STAR
424543,QSO
1267525,GALAXY
138861,QSO
1299584,GALAXY
35061,QSO
1136135,GALAXY
1174683,GALAXY
1228023,GALAXY
955771,GALAXY
871825,STAR
615152,STAR
686102,STAR
559920,STAR
117854,QSO
860870,STAR
1142558,GALAXY
435687,QSO
864000,STAR
1166766,GALAXY
774025,STAR
608885,STAR
666406,STAR
239419,QSO
1166002,GALAXY
308047,QSO
246486,QSO
586037,STAR
698473,STAR
627929,STAR
256439,QSO
91074,QSO
1164684,GALAXY
1130597,GALAXY
804512,STAR
1231019,GALAXY
101993,QSO
992116,GALAXY
842343,STAR
1244776,GALAXY
148766,QSO
385837,QSO
1104120,GALAXY
589293,STAR
994035,GALAXY
1199799,GALAXY
910928,GALAXY
847304,STAR
714396,STAR
696412,STAR
209232,QSO
219101,QSO
1259745,GALAXY
827961,STAR
49739,QSO
934920,GALAXY
1268905,GALAXY
573879,STAR
287024,QSO
1152238,GALAXY
1144999,GALAXY
493939,STAR
1211992,GALAXY
1052982,GALAXY
579428,STAR
1049205,GALAXY
522083,STAR
1167049,GALAXY
717260,STAR
967191,GALAXY
702230,STAR
864797,STAR
1039163,GALAXY
553418,STAR
608159,STAR
744741,STAR
1025895,GALAXY
604620,STAR
748727,STAR
1176536,GALAXY
1303363,GALAXY
1251314,GALAXY
151275,QSO
291503,QSO
537140,STAR
1233623,GALAXY
341923,QSO
380619,QSO
856617,STAR
855469,STAR
592248,STAR
385375,QSO
1183437,GALAXY
344211,QSO
532362,STAR
382403,QSO
590527,STAR
1056856,GALAXY
98429,QSO
1191934,GALAXY
658952,STAR
223288,QSO
1253102,GALAXY
609795,STAR
506153,STAR
525447,STAR
696393,STAR
180340,QSO
1123622,GALAXY
352074,QSO
753736,STAR
441137,STAR
148109,QSO
457471,STAR
1049879,GALAXY
214608,QSO
811623,STAR
268538,QSO
179093,QSO
909685,GALAXY
42202,QSO
180883,QSO
765734,STAR
546080,STAR
1239879,GALAXY
766184,STAR
1140641,GALAXY
965388,GALAXY
781865,STAR
531924,STAR
446507,STAR
577112,STAR
751265,STAR
273473,QSO
770673,STAR
135640,QSO
1265005,GALAXY
1312478,GALAXY
1188523,GALAXY
1316348,GALAXY
853547,STAR
609022,STAR
819223,STAR
107197,QSO
1290851,GALAXY
1216087,GALAXY
1024308,GALAXY
598936,STAR
156637,QSO
502970,STAR
825370,STAR
1259274,GALAXY
1302693,GALAXY
610559,STAR
1022670,GALAXY
202113,QSO
338549,QSO
802234,STAR
681448,STAR
369793,QSO
170173,QSO
1038954,GALAXY
636779,STAR
87,QSO
667501,STAR
603794,STAR
840817,STAR
257450,QSO
1270662,GALAXY
650744,STAR
432739,QSO
111852,QSO
1147194,GALAXY
678345,STAR
1092875,GALAXY
462522,STAR
1147189,GALAXY
1056957,GALAXY
327422,QSO
1118994,GALAXY
802321,STAR
146774,QSO
440460,STAR
452340,STAR
1287370,GALAXY
293252,QSO
1200304,GALAXY
144777,QSO
887134,GALAXY
659623,STAR
663760,STAR
706016,STAR
672140,STAR
1122638,GALAXY
770412,STAR
1214520,GALAXY
1146157,GALAXY
1298481,GALAXY
1226397,GALAXY
405667,QSO
87969,QSO
796996,STAR
502536,STAR
1135686,GALAXY
839991,STAR
946860,GALAXY
7670,QSO
247715,QSO
71723,QSO
271574,QSO
1028946,GALAXY
919729,GALAXY
1179055,GALAXY
441618,STAR
512618,STAR
445607,STAR
35822,QSO
1236726,GALAXY
225059,QSO
685558,STAR
1050049,GALAXY
280735,QSO
748728,STAR
209344,QSO
108551,QSO
539598,STAR
645773,STAR
404019,QSO
720737,STAR
1253693,GALAXY
160622,QSO
1135588,GALAXY
988053,GALAXY
58199,QSO
1279678,GALAXY
337904,QSO
134315,QSO
928930,GALAXY
30273,QSO
878901,GALAXY
1269864,GALAXY
111119,QSO
819247,STAR
28243,QSO
506590,STAR
568219,STAR
623013,STAR
1259802,GALAXY
1299699,GALAXY
1158302,GALAXY
988704,GALAXY
689990,STAR
1305295,GALAXY
1232061,GALAXY
652084,STAR
556310,STAR
161503,QSO
959930,GALAXY
723178,STAR
821616,STAR
832799,STAR
1259962,GALAXY
577010,STAR
906822,GALAXY
384997,QSO
1274596,GALAXY
821888,STAR
771914,STAR
332797,QSO
775403,STAR
135863,QSO
1297619,GALAXY
918557,GALAXY
257931,QSO
829718,STAR
760987,STAR
387293,QSO
709293,STAR
1219829,GALAXY
70312,QSO
1277085,GALAXY
72176,QSO
1069824,GALAXY
598465,STAR
263612,QSO
1073976,GALAXY
1014773,GALAXY
1117405,GALAXY
1200722,GALAXY
1212601,GALAXY
515520,STAR
656754,STAR
1292139,GALAXY
601565,STAR
642255,STAR
209042,QSO
169684,QSO
292262,QSO
1303308,GALAXY
562361,STAR
758326,STAR
651901,STAR
645985,STAR
156767,QSO
949384,GALAXY
1021861,GALAXY
339946,QSO
116419,QSO
537981,STAR
656311,STAR
243269,QSO
1290069,GALAXY
962707,GALAXY
1274134,GALAXY
1188057,GALAXY
546708,STAR
18791,QSO
218848,QSO
1279919,GALAXY
605885,STAR
1120405,GALAXY
255799,QSO
1284,QSO
101021,QSO
988527,GALAXY
154468,QSO
839698,STAR
1214759,GALAXY
197246,QSO
797521,STAR
25260,QSO
499965,STAR
629060,STAR
187087,QSO
272596,QSO
58151,QSO
616100,STAR
971511,GALAXY
1224072,GALAXY
1235844,GALAXY
1277944,GALAXY
1090058,GALAXY
611018,STAR
792685,STAR
712114,STAR
463876,STAR
649621,STAR
188297,QSO
9206,QSO
497021,STAR
161599,QSO
244230,QSO
354664,QSO
672188,STAR
734241,STAR
103691,QSO
502114,STAR
1154577,GALAXY
223492,QSO
723556,STAR
253013,QSO
3514,QSO
333884,QSO
903156,GALAXY
547927,STAR
801281,STAR
775731,STAR
1150955,GALAXY
500397,STAR
477214,STAR
201056,QSO
827526,STAR
987162,GALAXY
1191836,GALAXY
867696,STAR
1295132,GALAXY
706105,STAR
