,class
846742,STAR
597733,STAR
899280,GALAXY
65165,QSO
886885,GALAXY
939133,GALAXY
363664,QSO
402026,QSO
216049,QSO
657228,STAR
1258523,GALAXY
387873,QSO
640762,STAR
210902,QSO
867782,STAR
1134775,GALAXY
971815,GALAXY
1315285,GALAXY
893185,GALAXY
1138078,GALAXY
328800,QSO
175748,QSO
312067,QSO
1317417,GALAXY
593626,STAR
226780,QSO
498037,STAR
615139,STAR
118575,QSO
1045214,GALAXY
115597,QSO
101594,QSO
152326,QSO
777620,STAR
670129,STAR
960539,GALAXY
648042,STAR
1070223,GALAXY
496408,STAR
306010,QSO
691814,STAR
127483,QSO
652577,STAR
1313779,GALAXY
676758,STAR
292825,QSO
1039581,GALAXY
3721,QSO
245763,QSO
1316797,GALAXY
1214733,GALAXY
610347,STAR
1190126,GALAXY
622506,STAR
619528,STAR
247539,QSO
898568,GALAXY
1274713,GALAXY
959407,GALAXY
214695,QSO
1047628,GALAXY
194351,QSO
426601,QSO
1025794,GALAXY
273420,QSO
1216644,GALAXY
801131,STAR
470404,STAR
216453,QSO
1289537,GALAXY
620267,STAR
552369,STAR
944821,GALAXY
175397,QSO
546071,STAR
178854,QSO
89504,QSO
1276847,GALAXY
254499,QSO
71159,QSO
776143,STAR
131916,QSO
61350,QSO
1066022,GALAXY
635464,STAR
920756,GALAXY
506713,STAR
841776,STAR
981249,GALAXY
614466,STAR
518533,STAR
553856,STAR
579056,STAR
1231837,GALAXY
640021,STAR
595174,STAR
612030,STAR
949617,GALAXY
596321,STAR
1168700,GALAXY
1200089,GALAXY
395785,QSO
524337,STAR
400125,QSO
400574,QSO
418866,QSO
563536,STAR
447057,STAR
1070925,GALAXY
21141,QSO
772167,STAR
244689,QSO
548547,STAR
1028781,GALAXY
997375,GALAXY
806823,STAR
1231845,GALAXY
1070467,GALAXY
220538,QSO
180758,QSO
904324,GALAXY
1005750,GALAXY
200287,QSO
432770,QSO
496645,STAR
1310005,GALAXY
1308991,GALAXY
220758,QSO
875979,STAR
132982,QSO
82291,QSO
92451,QSO
71975,QSO
1160526,GALAXY
190144,QSO
573111,STAR
1281550,GALAXY
488117,STAR
1144940,GALAXY
388729,QSO
485820,STAR
576531,STAR
296612,QSO
808790,STAR
656680,STAR
505569,STAR
1150929,GALAXY
107440,QSO
352489,QSO
795471,STAR
324809,QSO
42750,QSO
1158688,GALAXY
778955,STAR
351937,QSO
780353,STAR
159897,QSO
187193,QSO
706430,STAR
39763,QSO
384550,QSO
950189,GALAXY
246045,QSO
621858,STAR
129933,QSO
620580,STAR
872215,STAR
1120685,GALAXY
40142,QSO
209461,QSO
596146,STAR
478147,STAR
558988,STAR
711313,STAR
332151,QSO
216756,QSO
1033269,GALAXY
858591,STAR
633081,STAR
732645,STAR
