i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,singlePeak,doublePeak,rotation,phaseAmplitude,t_char,rBLR,FHWM
45.0,500.0,0.05,2.0,0.0,0.0,0.0,0.5,180.0,2.0,True,False,ccw,530426841513545.6,0.8577346670861402,1.4868935846145028,14400.000000000013
45.0,500.0,0.05,2.0,0.0,0.0,0.0,1.0,0.0,-2.0,True,False,cw,548197845982035.5,0.8577422746265913,1.4869067723793512,13200.000000000013
45.0,500.0,0.05,2.0,0.0,0.0,0.0,1.0,180.0,2.0,True,False,ccw,530426841513545.6,0.8577346670861402,1.4868935846145028,14400.000000000013
45.0,500.0,0.05,2.0,0.0,0.0,0.5,0.0,0.0,0.0,False,True,cw,472254246880333.9,0.8578261958261697,1.4870522508099828,13200.000000000013
45.0,500.0,0.05,2.0,0.0,0.0,0.5,0.0,180.0,2.0,False,True,ccw,450756955142035.9,0.8578261916894002,1.4870522436388427,13200.000000000013
45.0,500.0,0.05,2.0,0.0,0.0,0.5,0.5,0.0,2.0,False,True,cw,511485189994173.25,1.1042859441388924,1.4869683163638072,14400.000000000013
45.0,500.0,0.05,2.0,0.0,0.0,0.5,0.5,360.0,0.0,False,True,cw,532185077267219.4,1.1043168332647486,1.4869633910636115,13800.000000000013
45.0,500.0,0.05,2.0,0.0,0.0,0.5,1.0,0.0,2.0,True,False,cw,530211324021400.5,1.1705457233114889,1.486898347153466,14400.000000000013
45.0,500.0,0.05,2.0,0.0,0.0,0.5,1.0,360.0,2.0,True,False,cw,530211324021400.4,1.1705457233114889,1.486898347153466,14400.000000000013
45.0,500.0,0.05,2.0,0.0,0.0,1.0,0.0,180.0,2.0,False,True,ccw,450756955142035.9,0.8578261916894002,1.4870522436388427,13200.000000000013
45.0,500.0,0.05,2.0,0.0,0.0,1.0,0.5,0.0,-2.0,False,True,cw,506337181558260.2,0.99547078651102,1.4870230245780918,13200.000000000013
45.0,500.0,0.05,2.0,0.0,0.0,1.0,0.5,180.0,2.0,False,True,ccw,474149752617283.25,0.995455685738797,1.4870182130313023,13800.000000000013
45.0,500.0,0.05,2.0,0.0,0.0,1.0,1.0,0.0,-2.0,False,True,cw,538482419105891.25,1.1043488982595495,1.4869771746754592,13200.000000000013
45.0,500.0,0.05,2.0,0.0,0.0,1.0,1.0,180.0,2.0,False,True,ccw,511485189994173.2,1.1042859441388924,1.4869683163638072,14400.000000000013
45.0,500.0,0.05,2.0,0.0,0.5,0.0,0.0,0.0,2.0,True,False,cw,467625836221346.8,0.8577519005035501,1.4869234589553355,13800.000000000013
45.0,500.0,0.05,2.0,0.0,0.5,0.0,0.0,360.0,2.0,True,False,cw,467625836221346.6,0.8577519005035501,1.4869234589553355,13800.000000000013
45.0,500.0,0.05,2.0,0.0,0.5,0.0,0.5,360.0,-2.0,True,False,cw,505072723320766.4,0.8575796784863879,1.4869067723793514,13200.000000000013
45.0,500.0,0.05,2.0,0.0,0.5,0.0,1.0,0.0,0.0,True,False,cw,507955161768542.9,0.8576955208929598,1.4868861235225448,13800.000000000013
45.0,500.0,0.05,2.0,0.0,0.5,0.0,1.0,360.0,-2.0,True,False,cw,526635284651400.25,0.8576609765564895,1.4869067723793514,13200.000000000013
45.0,500.0,0.05,2.0,0.0,0.5,0.5,0.0,0.0,0.0,True,False,cw,374369594896670.9,0.8577582142240795,1.4869344038674517,10499.999999999976
45.0,500.0,0.05,2.0,0.0,0.5,0.5,0.0,360.0,0.0,True,False,cw,374369594896670.8,0.8577582142240795,1.4869344038674517,10499.999999999976
45.0,500.0,0.05,2.0,0.0,0.5,0.5,0.5,360.0,0.0,True,False,cw,467832033812819.7,1.0917494794726488,1.4868745539133887,13499.999999999978
45.0,500.0,0.05,2.0,0.0,0.5,0.5,1.0,180.0,-2.0,True,False,ccw,526559955810642.5,1.1514488883935696,1.486900794522432,13200.000000000013
45.0,500.0,0.05,2.0,0.0,0.5,0.5,1.0,360.0,0.0,True,False,cw,509936221903853.6,1.1514068155932444,1.4868807777896005,13800.000000000013
