,i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,phaseAmplitude,t_char,rBLR,FHWM
89779,5,3,5,1,1,5,3,1,3,4,1,2,3,1
121095,1,1,4,2,5,5,2,4,3,2,1,1,1,1
82774,2,3,3,1,2,3,5,1,1,3,2,1,2,1
20922,3,5,5,3,5,3,1,1,5,1,2,4,5,1
23144,5,1,3,1,1,3,1,5,5,3,1,1,1,4
110761,4,5,1,5,2,1,2,3,1,1,2,1,1,1
25300,5,1,5,3,3,1,5,5,5,5,1,1,1,3
13623,3,3,1,5,5,3,5,1,5,1,1,1,1,1
17107,3,5,1,1,3,3,3,5,3,1,3,1,1,1
47005,5,4,2,3,5,5,2,2,4,2,2,1,1,1
44038,5,4,5,1,1,3,2,4,4,2,2,2,3,1
70337,1,1,1,3,3,4,4,5,4,2,1,1,1,1
140055,2,3,5,5,5,1,5,3,3,2,1,3,3,1
89722,5,4,4,4,1,4,2,1,2,1,2,2,3,1
109719,2,3,1,1,5,2,1,1,2,2,1,1,1,1
37806,2,3,5,5,2,4,2,2,1,5,2,2,3,1
133607,4,4,1,5,2,1,4,5,2,5,2,1,1,1
32123,5,5,1,5,3,5,1,5,1,1,2,1,1,1
130345,1,1,3,4,4,4,3,2,4,5,1,1,1,1
32294,5,5,1,5,5,5,1,5,3,5,2,1,1,1
117321,1,3,4,1,5,3,4,1,3,2,1,2,2,1
131037,1,1,5,2,3,2,3,2,1,3,1,1,1,1
67219,4,1,5,5,5,4,2,5,2,1,1,1,1,1
131650,4,1,3,3,2,5,5,1,4,2,1,1,1,1
115645,3,4,5,4,3,2,3,3,4,1,2,3,3,1
120042,4,3,1,2,5,2,1,2,4,5,1,1,1,1
31548,5,5,1,3,3,3,1,5,1,5,2,1,1,1
41629,3,2,2,2,4,3,3,2,4,2,1,1,1,1
107569,2,5,1,4,5,1,3,3,2,5,1,1,1,1
54645,2,1,3,2,1,2,3,3,3,3,1,1,1,1
82305,1,3,4,4,4,2,1,5,3,5,1,2,3,1
79635,2,4,2,4,3,2,3,5,1,5,3,1,1,1
95227,1,5,4,3,4,3,1,2,2,2,2,3,4,1
72571,4,5,5,2,2,5,3,3,1,1,2,4,5,1
44793,2,5,3,2,5,5,5,1,2,3,2,3,3,1
32136,5,5,1,5,3,5,3,1,5,1,2,1,1,1
42268,4,1,3,1,4,5,5,2,1,3,1,1,1,2
99865,4,1,1,5,2,4,5,1,1,1,1,1,1,1
115492,3,2,2,1,5,1,2,3,3,5,1,1,1,1
1808,1,1,3,1,3,3,5,1,3,1,1,1,1,1
39506,4,5,4,5,4,1,2,2,3,1,2,3,3,1
124851,5,3,2,4,4,2,1,2,4,4,2,1,1,1
54575,5,2,4,3,4,5,3,3,4,1,1,1,2,1
19484,3,5,3,5,1,1,5,3,1,3,3,2,3,1
36964,3,5,3,3,5,2,3,4,3,3,1,2,3,1
78011,3,4,4,2,1,2,5,1,2,1,1,2,3,1
89007,5,5,5,1,2,3,2,4,3,3,2,3,5,1
100340,5,5,3,5,1,4,4,1,5,2,1,2,3,1
83403,5,5,3,5,5,4,2,1,3,4,1,2,3,1
63183,2,5,3,3,4,5,3,5,1,5,3,2,3,1
47558,1,4,5,3,5,2,1,1,2,1,1,3,4,1
49475,2,2,2,5,2,4,5,1,3,5,1,1,1,1
97701,5,5,5,4,5,2,1,4,4,1,3,3,5,1
114625,4,5,4,5,3,3,4,1,1,5,2,3,4,1
55735,2,1,4,2,5,1,2,5,1,4,1,1,1,1
1531,1,1,3,1,1,1,1,3,1,1,1,1,1,1
130205,4,1,2,3,1,4,2,3,1,2,1,1,1,1
47446,2,5,2,2,3,1,4,2,3,3,2,2,2,1
72508,1,1,4,3,1,4,3,5,5,3,1,1,1,1
38580,2,1,3,3,1,3,4,1,4,5,1,1,1,1
30061,5,3,5,3,3,5,3,5,3,3,1,2,3,1
89213,2,4,5,5,3,3,4,5,4,4,2,3,3,1
96707,2,5,5,5,4,2,5,5,1,2,3,4,5,1
22027,5,1,1,1,5,5,1,3,5,5,1,1,1,3
40505,4,1,5,5,1,1,1,5,3,2,1,1,1,1
24885,5,1,5,1,3,5,3,1,3,5,1,1,1,3
66791,1,4,2,1,4,5,3,3,5,2,1,1,2,1
15556,3,3,5,1,3,3,5,1,5,5,1,3,3,1
77021,3,2,5,5,2,3,4,2,1,5,1,2,2,1
137234,5,1,3,4,2,4,2,2,4,5,1,1,1,2
66771,4,5,4,2,1,4,2,3,3,4,1,3,4,1
92245,5,2,3,5,3,5,1,4,5,2,1,1,1,1
23959,5,1,3,3,5,1,3,5,1,1,1,1,1,3
26529,5,3,1,1,5,3,5,1,1,5,1,1,1,1
120747,5,3,2,2,2,4,2,1,2,2,1,1,1,1
115087,4,1,2,2,1,4,3,1,1,5,1,1,1,1
43054,5,1,1,1,4,1,3,2,2,3,1,1,1,1
124278,5,3,2,3,3,1,5,4,5,1,1,1,1,1
127335,4,5,3,5,1,5,3,3,4,4,3,2,2,1
42484,3,1,3,3,5,3,2,1,2,5,1,1,1,1
8777,3,1,1,5,5,1,1,1,1,3,1,1,1,5
102244,3,2,1,3,1,2,2,2,1,1,1,1,1,1
101184,3,3,3,2,5,5,3,5,2,4,2,1,1,1
129062,3,3,3,5,3,3,3,5,1,5,1,1,2,1
2262,1,1,3,3,3,1,3,3,5,5,1,1,1,1
48200,2,2,2,4,3,5,5,1,4,3,1,1,1,1
33829,5,5,3,5,5,3,3,5,5,1,2,2,3,1
9776,3,1,3,3,3,5,3,1,3,3,1,1,1,4
67684,2,5,4,5,4,1,2,5,4,2,3,2,3,1
110470,2,3,2,4,2,1,1,1,1,5,1,1,1,1
140121,3,5,4,3,2,3,4,5,4,4,3,3,3,1
20831,3,5,5,3,3,5,3,5,1,1,2,4,5,1
12570,3,3,1,1,5,3,5,1,5,3,1,1,1,1
99018,4,2,5,1,5,3,2,4,5,3,1,1,2,1
78753,4,3,2,1,1,4,4,3,1,3,2,1,1,1
119737,5,3,1,2,3,4,1,4,2,5,1,1,1,1
58523,4,1,1,3,5,2,2,5,3,3,1,1,1,2
127461,5,2,1,4,3,2,2,3,2,5,1,1,1,1
119998,3,1,4,2,2,2,2,2,3,1,1,1,1,1
124115,4,2,4,4,3,3,2,4,5,4,1,2,2,1
81621,5,5,2,2,4,4,5,3,4,3,2,2,2,1
89640,5,5,4,1,2,2,3,3,4,1,2,3,4,1
6624,1,3,5,1,3,1,3,5,5,3,1,2,3,1
72854,5,5,3,3,3,1,2,4,1,3,2,2,3,1
37434,5,2,5,1,1,3,4,4,4,5,1,1,1,1
1914,1,1,3,1,5,1,3,5,3,1,1,1,1,1
31942,5,5,1,5,1,5,1,3,3,3,3,1,1,1
96625,2,3,4,4,5,3,4,1,5,3,2,2,2,1
50445,2,1,4,5,5,3,4,5,1,2,1,1,1,1
118173,1,1,5,1,5,4,4,2,1,4,1,1,1,1
11214,3,1,5,3,1,5,3,5,5,3,1,1,1,5
80610,4,5,2,3,2,4,2,2,3,2,2,2,2,1
133478,5,2,4,2,2,5,5,3,3,1,1,1,1,1
8402,3,1,1,3,5,5,3,1,3,1,1,1,1,2
108274,3,5,3,3,3,2,1,5,1,5,3,2,3,1
90781,2,4,2,1,5,4,3,4,5,3,1,1,1,1
126034,3,1,5,3,1,2,4,4,1,1,1,1,1,2
84542,2,2,1,5,3,5,1,4,4,5,1,1,1,1
84813,1,2,2,2,1,5,4,2,3,2,1,1,1,1
126299,3,4,2,3,4,2,4,4,3,4,2,1,1,1
48279,1,5,3,1,4,4,2,5,1,4,1,2,3,1
82738,4,2,5,1,2,4,1,2,5,2,1,1,2,1
44783,3,2,2,3,4,1,1,3,3,4,1,1,1,1
113832,3,1,1,2,4,5,5,5,2,2,1,1,1,1
34702,5,5,5,3,3,3,3,5,3,1,2,4,5,1
59747,1,5,5,2,2,5,1,4,1,1,3,3,5,1
64182,4,4,4,4,1,4,5,4,3,1,1,3,3,1
80800,5,4,1,3,4,5,2,5,4,1,2,1,1,1
70668,5,2,4,4,1,3,4,1,2,2,1,1,2,1
64227,3,3,4,2,1,1,5,5,4,4,2,2,3,1
1968,1,1,3,1,5,3,3,1,5,5,1,1,1,1
50950,2,4,3,4,3,4,2,2,2,1,1,2,2,1
37666,1,4,3,3,3,3,1,3,3,2,2,2,3,1
124585,2,3,1,2,2,3,1,5,3,3,2,1,1,1
44387,1,1,3,2,4,5,2,2,3,5,1,1,1,1
107488,5,3,2,3,3,2,2,2,1,5,1,1,1,1
15384,3,3,5,1,1,3,5,3,1,5,1,2,3,1
25595,5,1,5,3,5,5,5,5,3,5,1,1,1,3
3570,1,1,5,1,5,5,1,3,5,1,1,1,1,1
10355,3,1,3,5,3,5,5,5,5,1,1,1,1,3
2070,1,1,3,3,1,1,3,1,5,1,1,1,1,1
48796,2,2,3,1,5,4,5,1,5,1,1,1,1,1
138096,4,4,3,1,3,4,3,5,1,4,2,2,2,1
88106,3,5,1,4,5,4,3,4,1,3,2,1,1,1
99381,4,4,4,3,3,3,1,1,2,2,1,2,3,1
122528,5,1,1,1,2,4,5,5,4,1,1,1,1,1
24171,5,1,3,5,1,3,3,3,5,5,1,1,1,2
11367,3,1,5,3,3,5,1,1,5,5,1,1,1,2
138791,2,2,3,2,1,4,3,3,3,2,1,1,1,1
6919,1,3,5,3,1,5,1,1,3,1,1,2,3,1
140667,5,3,1,1,1,1,2,1,3,1,2,1,1,1
97367,4,1,4,5,2,1,1,4,5,5,1,1,1,1
140072,3,4,5,3,2,4,4,5,2,5,2,3,4,1
139989,2,3,5,5,3,2,5,5,2,5,1,2,2,1
49157,4,1,3,5,3,3,5,3,3,5,1,1,1,1
120959,5,3,5,3,5,1,3,5,3,5,1,2,2,1
39911,3,4,4,3,4,4,3,1,5,4,1,2,3,1
58522,5,4,3,4,5,3,3,5,4,4,2,2,3,1
55480,2,4,1,3,2,3,2,2,3,5,2,1,1,1
54938,3,2,5,1,4,3,5,1,4,3,1,2,2,1
15671,3,3,5,1,5,1,3,3,5,5,1,2,3,1
115793,1,4,3,1,5,5,3,3,5,4,1,2,2,1
114391,3,3,3,2,5,4,2,1,5,3,1,1,2,1
103776,4,4,2,5,3,3,3,5,4,4,2,1,1,1
38522,2,3,3,1,4,3,1,2,2,3,1,1,2,1
391,1,1,1,1,5,3,1,3,1,1,1,1,1,1
128228,5,3,5,5,2,5,1,3,3,5,2,2,3,1
86358,4,1,3,5,5,5,5,4,1,1,1,1,1,1
36537,3,1,4,3,4,2,4,3,3,5,1,1,1,1
30037,5,3,5,3,3,5,1,5,1,3,1,2,3,1
126989,3,4,3,4,3,1,5,1,3,2,1,2,2,1
87736,4,2,5,5,3,3,1,5,2,2,1,1,2,1
114941,5,2,1,4,4,4,1,3,1,1,1,1,1,1
22813,5,1,1,5,3,3,3,3,3,1,1,1,1,3
85202,2,2,1,5,1,4,4,1,2,5,1,1,1,1
51587,3,1,3,1,5,1,3,3,3,1,1,1,1,1
30223,5,3,5,3,5,5,3,3,1,5,1,2,3,1
93102,4,1,3,3,3,1,5,1,2,5,1,1,1,1
118671,2,3,3,4,3,4,1,4,4,2,2,1,2,1
49250,5,5,4,4,1,4,2,3,3,5,4,3,4,1
26830,5,3,1,3,3,1,5,3,3,5,1,1,1,1
81175,2,2,1,4,5,4,2,1,5,5,1,1,1,1
86952,1,1,1,3,1,1,2,4,5,3,1,1,1,1
133271,5,1,4,2,1,1,3,4,3,5,1,1,1,1
95102,3,4,4,3,2,4,4,4,5,5,1,2,2,1
