,i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,phaseAmplitude,t_char,rBLR,FHWM
81785,2,5,5,5,2,2,3,1,2,4,2,3,5,1
21128,3,5,5,5,1,3,5,1,3,5,2,4,5,1
112527,2,4,2,3,3,3,2,2,1,5,2,1,2,1
86486,4,5,2,1,3,4,4,5,1,2,3,2,2,1
32678,5,5,3,1,3,5,3,5,1,1,2,2,3,1
42662,2,1,2,1,5,3,3,1,3,3,1,1,1,1
112857,3,4,1,4,5,5,5,1,4,3,2,1,1,1
58322,1,5,4,3,5,1,2,2,3,1,2,2,3,1
19003,3,5,3,3,1,3,3,3,3,3,2,3,3,1
2767,1,1,3,5,3,1,1,1,3,3,1,1,1,1
50973,3,5,4,1,1,1,1,5,5,4,1,3,4,1
92213,5,3,3,2,4,2,5,3,3,5,1,1,2,1
14159,3,3,3,1,5,5,1,3,1,3,1,1,2,1
132315,2,2,3,2,3,5,3,3,5,1,1,1,1,1
25576,5,1,5,3,5,5,3,5,5,5,1,1,1,3
44657,3,1,2,4,1,1,1,4,4,1,1,1,1,1
48744,1,1,4,5,3,3,2,3,4,4,1,1,1,1
126251,5,4,4,5,2,1,5,1,5,4,2,3,4,1
113616,1,5,2,5,1,5,3,2,3,4,2,1,2,1
83139,5,2,1,2,4,3,3,3,5,4,1,1,1,1
90405,5,3,3,1,5,2,4,1,3,1,1,1,1,1
22294,5,1,1,3,3,3,1,5,5,3,1,1,1,5
49362,5,4,2,3,2,3,4,5,4,3,2,1,1,1
127971,2,1,5,3,2,5,1,3,5,5,1,1,1,2
117453,1,1,5,4,5,4,3,2,5,5,1,1,1,1
27234,5,3,1,5,1,3,5,1,3,1,1,1,1,1
69950,2,1,2,2,1,2,1,3,1,1,1,1,1,1
8371,3,1,1,3,5,3,5,3,5,1,1,1,1,2
9177,3,1,3,1,3,3,1,1,5,1,1,1,1,2
89673,1,5,3,5,5,1,1,1,1,5,1,2,3,1
83213,4,4,1,2,5,5,2,3,5,1,1,1,1,1
140823,2,2,2,5,5,4,1,2,5,2,1,1,1,1
30100,5,3,5,3,5,1,3,1,1,1,1,2,3,1
6733,1,3,5,1,5,1,1,5,3,3,1,2,3,1
102417,2,3,2,2,3,5,1,4,3,1,2,1,2,1
104200,4,3,5,4,3,1,4,3,3,3,1,3,3,1
34304,5,5,5,1,5,1,5,3,5,3,2,4,5,1
58034,3,4,5,3,1,1,1,3,3,4,3,3,4,1
22165,5,1,1,3,1,3,5,5,3,1,1,1,1,2
35920,5,4,1,1,2,5,3,2,2,5,1,1,1,1
6155,1,3,3,3,5,1,5,3,1,5,1,1,2,1
4216,1,1,5,5,1,3,5,3,3,1,1,1,1,1
135490,3,4,3,3,5,4,1,5,4,2,3,2,3,1
78455,4,1,1,5,4,4,4,3,1,4,1,1,1,1
119698,4,3,1,5,1,5,5,4,2,2,2,1,1,1
75228,5,2,1,3,3,3,3,1,3,2,1,1,1,1
69888,5,2,2,4,4,1,5,4,2,5,1,1,1,1
