,label
89779,doublePeak
121095,singlePeak
82774,singlePeak
20922,singlePeak
23144,singlePeak
110761,singlePeak
25300,doublePeak
13623,singlePeak
17107,singlePeak
47005,singlePeak
44038,doublePeak
70337,doublePeak
140055,doublePeak
89722,doublePeak
109719,singlePeak
37806,singlePeak
133607,singlePeak
32123,singlePeak
130345,singlePeak
32294,singlePeak
117321,singlePeak
131037,singlePeak
67219,singlePeak
131650,singlePeak
115645,singlePeak
120042,singlePeak
31548,singlePeak
41629,singlePeak
107569,singlePeak
54645,doublePeak
82305,singlePeak
79635,singlePeak
95227,singlePeak
72571,doublePeak
44793,singlePeak
32136,singlePeak
42268,singlePeak
99865,singlePeak
115492,singlePeak
1808,singlePeak
39506,singlePeak
124851,doublePeak
54575,singlePeak
19484,singlePeak
36964,singlePeak
78011,singlePeak
89007,singlePeak
100340,singlePeak
83403,singlePeak
63183,singlePeak
47558,singlePeak
49475,singlePeak
97701,singlePeak
114625,singlePeak
55735,doublePeak
1531,singlePeak
130205,doublePeak
47446,singlePeak
72508,singlePeak
38580,singlePeak
30061,singlePeak
89213,singlePeak
96707,doublePeak
22027,doublePeak
40505,doublePeak
24885,doublePeak
66791,singlePeak
15556,singlePeak
77021,singlePeak
137234,doublePeak
66771,singlePeak
92245,singlePeak
23959,doublePeak
26529,singlePeak
120747,singlePeak
115087,singlePeak
43054,doublePeak
124278,singlePeak
127335,singlePeak
42484,singlePeak
8777,doublePeak
102244,doublePeak
101184,singlePeak
129062,singlePeak
2262,singlePeak
48200,singlePeak
33829,singlePeak
9776,singlePeak
67684,singlePeak
110470,singlePeak
140121,doublePeak
20831,singlePeak
12570,singlePeak
99018,singlePeak
78753,singlePeak
119737,singlePeak
58523,doublePeak
127461,singlePeak
119998,doublePeak
124115,singlePeak
81621,singlePeak
89640,singlePeak
6624,singlePeak
72854,singlePeak
37434,doublePeak
1914,singlePeak
31942,doublePeak
96625,singlePeak
50445,doublePeak
118173,doublePeak
11214,singlePeak
80610,singlePeak
133478,doublePeak
8402,doublePeak
108274,singlePeak
90781,singlePeak
126034,doublePeak
84542,singlePeak
84813,singlePeak
126299,singlePeak
48279,singlePeak
82738,singlePeak
44783,singlePeak
113832,doublePeak
34702,singlePeak
59747,singlePeak
64182,singlePeak
80800,singlePeak
70668,doublePeak
64227,doublePeak
1968,singlePeak
50950,singlePeak
37666,singlePeak
124585,doublePeak
44387,singlePeak
107488,singlePeak
15384,singlePeak
25595,doublePeak
3570,singlePeak
10355,doublePeak
2070,singlePeak
48796,singlePeak
138096,singlePeak
88106,singlePeak
99381,singlePeak
122528,doublePeak
24171,doublePeak
11367,doublePeak
138791,doublePeak
6919,singlePeak
140667,doublePeak
97367,singlePeak
140072,singlePeak
139989,doublePeak
49157,singlePeak
120959,singlePeak
39911,singlePeak
58522,singlePeak
55480,singlePeak
54938,singlePeak
15671,singlePeak
115793,singlePeak
114391,singlePeak
103776,singlePeak
38522,singlePeak
391,singlePeak
128228,singlePeak
86358,singlePeak
36537,singlePeak
30037,singlePeak
126989,singlePeak
87736,singlePeak
114941,doublePeak
22813,doublePeak
85202,singlePeak
51587,singlePeak
30223,singlePeak
93102,singlePeak
118671,doublePeak
49250,singlePeak
26830,singlePeak
81175,singlePeak
86952,singlePeak
133271,singlePeak
95102,singlePeak
9939,doublePeak
24647,doublePeak
35270,singlePeak
69873,doublePeak
4080,doublePeak
41446,singlePeak
24764,doublePeak
4711,singlePeak
52027,singlePeak
10485,singlePeak
48221,doublePeak
57421,doublePeak
18921,doublePeak
56476,doublePeak
57780,singlePeak
22325,singlePeak
48622,singlePeak
67578,singlePeak
55245,singlePeak
124389,doublePeak
4645,singlePeak
31969,doublePeak
49009,singlePeak
114266,singlePeak
