,label
81785,singlePeak
21128,singlePeak
112527,singlePeak
86486,singlePeak
32678,singlePeak
42662,singlePeak
112857,singlePeak
58322,singlePeak
19003,singlePeak
2767,singlePeak
50973,doublePeak
92213,singlePeak
14159,singlePeak
132315,doublePeak
25576,doublePeak
44657,doublePeak
48744,singlePeak
126251,singlePeak
113616,singlePeak
83139,singlePeak
90405,singlePeak
22294,singlePeak
49362,singlePeak
127971,doublePeak
117453,singlePeak
27234,doublePeak
69950,doublePeak
8371,doublePeak
9177,doublePeak
89673,singlePeak
83213,singlePeak
140823,singlePeak
30100,singlePeak
6733,singlePeak
102417,doublePeak
104200,singlePeak
34304,singlePeak
58034,doublePeak
22165,doublePeak
35920,singlePeak
6155,singlePeak
4216,doublePeak
135490,singlePeak
78455,singlePeak
119698,singlePeak
75228,singlePeak
69888,singlePeak
112595,singlePeak
94514,singlePeak
9309,doublePeak
69879,doublePeak
104159,doublePeak
73114,doublePeak
76077,singlePeak
28649,singlePeak
41522,singlePeak
136328,doublePeak
63401,doublePeak
51742,doublePeak
31042,singlePeak
136541,doublePeak
17095,singlePeak
95496,singlePeak
90919,singlePeak
129027,singlePeak
14056,singlePeak
127155,doublePeak
129870,singlePeak
122277,doublePeak
60878,doublePeak
118974,singlePeak
28129,singlePeak
117527,singlePeak
59501,singlePeak
41238,doublePeak
84070,singlePeak
100791,singlePeak
103909,singlePeak
70610,doublePeak
103337,singlePeak
32728,singlePeak
21175,doublePeak
102238,doublePeak
97298,singlePeak
33224,singlePeak
101360,singlePeak
18305,singlePeak
64050,doublePeak
29005,singlePeak
74673,singlePeak
120582,singlePeak
91604,singlePeak
13269,singlePeak
84809,singlePeak
89414,singlePeak
49432,singlePeak
54714,singlePeak
81088,singlePeak
57763,doublePeak
105050,singlePeak
36421,singlePeak
109367,singlePeak
78835,singlePeak
28628,singlePeak
125909,singlePeak
116578,doublePeak
78382,singlePeak
46128,singlePeak
67391,singlePeak
59775,singlePeak
66130,singlePeak
