,class
1066708,GALAXY
938299,STAR
259837,QSO
1168272,GALAXY
952769,STAR
1436765,GALAXY
1393301,GALAXY
737712,STAR
1369165,GALAXY
1245359,GALAXY
766559,STAR
784166,STAR
611353,STAR
648798,STAR
369605,QSO
1266725,GALAXY
1481540,GALAXY
923243,STAR
1375995,GALAXY
1243051,GALAXY
669534,STAR
242305,QSO
1435758,GALAXY
1307705,GALAXY
455509,QSO
1096980,GALAXY
17669,QSO
539141,STAR
1339186,GALAXY
1366850,GALAXY
555869,STAR
57804,QSO
722529,STAR
539655,STAR
1064110,GALAXY
973253,STAR
1191346,GALAXY
221390,QSO
1067782,GALAXY
166973,QSO
756924,STAR
942529,STAR
665160,STAR
1002302,GALAXY
889534,STAR
613601,STAR
554911,STAR
237458,QSO
963259,STAR
229174,QSO
457974,QSO
303528,QSO
187719,QSO
346541,QSO
573637,STAR
747156,STAR
844800,STAR
1326433,GALAXY
1038296,GALAXY
156063,QSO
433094,QSO
255566,QSO
1386535,GALAXY
749249,STAR
1397827,GALAXY
135119,QSO
787752,STAR
565849,STAR
1382142,GALAXY
307789,QSO
1020470,GALAXY
1179082,GALAXY
482028,QSO
199313,QSO
1275327,GALAXY
312073,QSO
1302303,GALAXY
659881,STAR
915910,STAR
1035433,GALAXY
108544,QSO
750732,STAR
1177119,GALAXY
1294463,GALAXY
697317,STAR
755276,STAR
1188587,GALAXY
1347898,GALAXY
89541,QSO
638742,STAR
1330489,GALAXY
290025,QSO
1421813,GALAXY
145861,QSO
828265,STAR
984740,STAR
300911,QSO
720327,STAR
348214,QSO
780524,STAR
917410,STAR
44651,QSO
1220316,GALAXY
1210023,GALAXY
1252556,GALAXY
1008760,GALAXY
1452633,GALAXY
338181,QSO
105156,QSO
1187866,GALAXY
894746,STAR
189382,QSO
1207132,GALAXY
1131054,GALAXY
283411,QSO
1126190,GALAXY
931479,STAR
298537,QSO
298739,QSO
1045586,GALAXY
1252407,GALAXY
20236,QSO
747922,STAR
96207,QSO
769980,STAR
1046735,GALAXY
290916,QSO
1285036,GALAXY
171437,QSO
1139393,GALAXY
34190,QSO
938159,STAR
2545,QSO
1338998,GALAXY
1333858,GALAXY
727601,STAR
335747,QSO
1387840,GALAXY
