,class
1462486,GALAXY
1279555,GALAXY
1433830,GALAXY
1061551,GALAXY
975213,STAR
1291980,GALAXY
615930,STAR
148966,QSO
401922,QSO
1409334,GALAXY
904101,STAR
1428836,GALAXY
1099846,GALAXY
282898,QSO
322949,QSO
1243089,GALAXY
957106,STAR
1015043,GALAXY
954278,STAR
370727,QSO
450601,QSO
627666,STAR
370050,QSO
1295764,GALAXY
1120427,GALAXY
1371684,GALAXY
1251989,GALAXY
1263846,GALAXY
82559,QSO
1033680,GALAXY
1338789,GALAXY
593444,STAR
518338,STAR
415008,QSO
43372,QSO
36749,QSO
842789,STAR
191310,QSO
422693,QSO
1234395,GALAXY
1301904,GALAXY
1045575,GALAXY
69278,QSO
1139271,GALAXY
1031951,GALAXY
1355605,GALAXY
1477205,GALAXY
1390677,GALAXY
615122,STAR
222452,QSO
217449,QSO
1314618,GALAXY
995866,STAR
861102,STAR
1056170,GALAXY
843857,STAR
1103446,GALAXY
1430977,GALAXY
1043843,GALAXY
43937,QSO
1315073,GALAXY
1389600,GALAXY
787593,STAR
101803,QSO
1063360,GALAXY
147296,QSO
712469,STAR
107570,QSO
294974,QSO
35588,QSO
868054,STAR
609138,STAR
735809,STAR
227820,QSO
64364,QSO
1412524,GALAXY
1024059,GALAXY
664462,STAR
647002,STAR
1025376,GALAXY
517975,STAR
616017,STAR
1358985,GALAXY
1445103,GALAXY
485339,QSO
1019374,GALAXY
1241075,GALAXY
523388,STAR
1344464,GALAXY
67195,QSO
606722,STAR
387649,QSO
687750,STAR
1233355,GALAXY
171264,QSO
1069663,GALAXY
1060172,GALAXY
1277252,GALAXY
41068,QSO
1455416,GALAXY
1361801,GALAXY
643810,STAR
1143722,GALAXY
1080892,GALAXY
546316,STAR
1146943,GALAXY
1272701,GALAXY
659402,STAR
951146,STAR
1105446,GALAXY
363864,QSO
1400582,GALAXY
11204,QSO
921154,STAR
621124,STAR
229435,QSO
228640,QSO
147731,QSO
676466,STAR
157344,QSO
1210402,GALAXY
257533,QSO
1213826,GALAXY
83728,QSO
804332,STAR
492438,QSO
222715,QSO
691515,STAR
528445,STAR
50859,QSO
828560,STAR
743295,STAR
898695,STAR
1435065,GALAXY
413237,QSO
91690,QSO
1444455,GALAXY
248036,QSO
88763,QSO
126374,QSO
370430,QSO
807318,STAR
479732,QSO
673529,STAR
319565,QSO
962717,STAR
201184,QSO
30619,QSO
1402141,GALAXY
1138703,GALAXY
1213886,GALAXY
1016246,GALAXY
110610,QSO
582975,STAR
721249,STAR
43400,QSO
467839,QSO
464337,QSO
736019,STAR
62609,QSO
482673,QSO
780908,STAR
1098666,GALAXY
345665,QSO
1258620,GALAXY
936111,STAR
219008,QSO
774081,STAR
767929,STAR
15237,QSO
176441,QSO
925332,STAR
795021,STAR
756878,STAR
1096500,GALAXY
1278639,GALAXY
523918,STAR
49813,QSO
126652,QSO
1067056,GALAXY
194808,QSO
1136324,GALAXY
128562,QSO
1174049,GALAXY
156814,QSO
659625,STAR
393418,QSO
403282,QSO
807309,STAR
1284830,GALAXY
1481952,GALAXY
1309954,GALAXY
13206,QSO
708045,STAR
1091046,GALAXY
684434,STAR
747549,STAR
307294,QSO
1087521,GALAXY
493344,QSO
1083088,GALAXY
1129162,GALAXY
245652,QSO
1399150,GALAXY
749638,STAR
796977,STAR
496474,QSO
657870,STAR
505564,STAR
35460,QSO
1213949,GALAXY
1069127,GALAXY
1163853,GALAXY
140627,QSO
556034,STAR
1420700,GALAXY
1040532,GALAXY
43984,QSO
513560,STAR
1307821,GALAXY
569763,STAR
1113871,GALAXY
1119849,GALAXY
774343,STAR
1348264,GALAXY
1149010,GALAXY
1214331,GALAXY
165306,QSO
1196,QSO
1006260,GALAXY
920656,STAR
282173,QSO
1363830,GALAXY
768811,STAR
616514,STAR
105246,QSO
113886,QSO
781523,STAR
730336,STAR
464750,QSO
715519,STAR
816928,STAR
910629,STAR
787237,STAR
407943,QSO
412116,QSO
1217667,GALAXY
702282,STAR
1065908,GALAXY
794909,STAR
1239291,GALAXY
944094,STAR
442853,QSO
447775,QSO
250813,QSO
956980,STAR
725352,STAR
1123666,GALAXY
1083700,GALAXY
1010543,GALAXY
721683,STAR
88967,QSO
758898,STAR
846511,STAR
1104874,GALAXY
355112,QSO
797733,STAR
988615,STAR
848813,STAR
410517,QSO
822209,STAR
1166846,GALAXY
1363176,GALAXY
283916,QSO
1265633,GALAXY
616126,STAR
281794,QSO
879876,STAR
1188610,GALAXY
1121938,GALAXY
877204,STAR
369331,QSO
530901,STAR
1471941,GALAXY
10647,QSO
1480982,GALAXY
307910,QSO
1239908,GALAXY
233546,QSO
986522,STAR
1297965,GALAXY
1412756,GALAXY
311567,QSO
1105361,GALAXY
738469,STAR
129111,QSO
1382429,GALAXY
836268,STAR
169917,QSO
828448,STAR
591864,STAR
1389368,GALAXY
1130857,GALAXY
1337890,GALAXY
713060,STAR
1163987,GALAXY
1297407,GALAXY
1032275,GALAXY
472034,QSO
584928,STAR
191028,QSO
511643,STAR
807146,STAR
