,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z
415652,166,1,1,2,1,528,533,518,531,539,13,6,7,9,10
121232,42,1,1,2,1,632,466,403,396,358,3,21,25,27,70
945151,97,1,1,2,1,699,687,539,493,460,18,12,7,9,9
154783,197,1,1,2,1,545,555,531,537,531,5,7,4,6,5
826382,1,1,1,2,1,522,484,433,412,372,44,14,22,16,10
1010801,89,1,1,2,1,720,594,500,469,432,44,44,16,14,21
265214,353,1,1,2,1,509,497,498,521,504,5,5,5,4,4
860561,1,1,1,6,2,330,348,376,407,404,8,8,7,6,7
991825,18,1,1,2,1,494,424,384,381,351,70,12,12,12,11
1286362,20,1,1,2,1,422,382,360,362,334,17,18,17,16,16
474604,1,1,1,2,1,637,545,528,552,557,12,5,6,6,4
925105,21,1,1,2,1,679,596,551,518,545,12,6,7,9,12
156668,249,1,1,3,1,428,433,439,449,434,6,5,5,4,5
514224,1,1,1,2,1,643,576,511,489,461,3,5,17,6,10
365103,281,1,1,2,1,464,476,482,494,477,7,6,6,16,13
1005134,48,1,1,2,1,573,505,427,418,387,7,13,12,11,19
318200,241,1,1,2,1,512,514,513,530,511,5,5,5,4,4
593351,1,1,1,3,1,434,408,401,416,401,6,5,5,5,5
406853,196,1,1,2,1,542,547,533,552,527,9,6,6,5,5
882631,9,1,1,2,1,403,331,301,296,259,34,35,33,33,30
280013,105,1,1,2,1,498,502,498,510,492,18,6,6,5,17
468649,1,1,1,3,1,390,358,346,355,335,7,7,6,6,86
219423,490,1,1,2,1,658,494,460,475,470,12,7,6,5,6
783410,1,2,2,5,2,348,320,318,329,312,10,9,8,7,7
683043,1,1,2,3,2,392,348,337,348,328,6,6,6,5,5
507321,1,1,1,2,1,484,404,356,344,304,108,18,12,10,10
175848,334,1,1,2,1,576,551,550,572,541,18,7,7,8,6
872245,1,1,1,2,1,693,693,543,514,466,12,12,6,6,5
400854,243,1,1,2,1,449,458,447,456,452,7,6,5,5,7
739245,1,1,1,2,1,634,472,442,449,435,12,6,6,6,6
108751,217,1,1,2,1,520,506,504,518,498,4,5,5,5,5
1251905,13,1,2,2,1,375,301,270,264,228,265,43,38,38,33
1151323,7,1,2,3,1,305,271,261,263,234,32,33,32,32,30
566488,1,1,1,2,1,661,602,519,495,454,12,5,6,6,6
260363,105,1,1,2,1,428,430,438,463,444,7,7,7,6,6
777652,1,1,1,2,1,549,532,525,537,507,10,6,6,6,4
890956,85,1,1,2,1,686,585,502,482,462,29,12,9,7,8
737723,1,1,1,3,1,431,389,369,377,354,7,6,5,5,5
211726,80,1,1,2,1,529,516,496,499,480,6,6,6,5,5
826774,1,1,1,3,1,410,376,364,372,352,4,5,4,3,4
174042,113,1,1,2,1,533,529,522,545,509,11,6,5,5,12
987126,74,1,1,2,1,715,558,470,451,420,12,12,14,24,12
489249,1,1,1,2,1,466,419,403,413,394,7,6,6,5,5
