,class
415652,QSO
121232,QSO
945151,GALAXY
154783,QSO
826382,STAR
1010801,GALAXY
265214,QSO
860561,STAR
991825,GALAXY
1286362,GALAXY
474604,STAR
925105,GALAXY
156668,QSO
514224,STAR
365103,QSO
1005134,GALAXY
318200,QSO
593351,STAR
406853,QSO
882631,GALAXY
280013,QSO
468649,STAR
219423,QSO
783410,STAR
683043,STAR
507321,STAR
175848,QSO
872245,STAR
400854,QSO
739245,STAR
108751,QSO
1251905,GALAXY
1151323,GALAXY
566488,STAR
260363,QSO
777652,STAR
890956,GALAXY
737723,STAR
211726,QSO
826774,STAR
174042,QSO
987126,GALAXY
489249,STAR
94831,QSO
462342,STAR
1304894,GALAXY
563571,STAR
257105,QSO
1124759,GALAXY
1117556,GALAXY
400897,QSO
391794,QSO
638618,STAR
1080127,GALAXY
1095959,GALAXY
418363,QSO
291086,QSO
1187195,GALAXY
1200335,GALAXY
629057,STAR
1054450,GALAXY
917400,GALAXY
1234452,GALAXY
577572,STAR
52992,QSO
1302238,GALAXY
1159676,GALAXY
1294205,GALAXY
421907,QSO
498874,STAR
153970,QSO
471378,STAR
1226523,GALAXY
757450,STAR
1106134,GALAXY
566980,STAR
946063,GALAXY
885581,GALAXY
312996,QSO
246051,QSO
1266289,GALAXY
1073856,GALAXY
456427,STAR
642160,STAR
40221,QSO
1131171,GALAXY
414230,QSO
110864,QSO
309277,QSO
196086,QSO
425730,QSO
521613,STAR
153339,QSO
718124,STAR
1189923,GALAXY
1253118,GALAXY
1085092,GALAXY
1258239,GALAXY
292525,QSO
590688,STAR
40545,QSO
765928,STAR
58440,QSO
1115311,GALAXY
281548,QSO
1017162,GALAXY
808130,STAR
1241217,GALAXY
154711,QSO
782787,STAR
109211,QSO
250640,QSO
981920,GALAXY
1156209,GALAXY
549915,STAR
472762,STAR
422474,QSO
965310,GALAXY
918725,GALAXY
896574,GALAXY
1014725,GALAXY
723369,STAR
887657,GALAXY
1120014,GALAXY
365724,QSO
231701,QSO
1053705,GALAXY
783479,STAR
809575,STAR
1206580,GALAXY
925335,GALAXY
1057548,GALAXY
1318404,GALAXY
1150571,GALAXY
1192786,GALAXY
1197294,GALAXY
365910,QSO
967748,GALAXY
546305,STAR
390703,QSO
218431,QSO
607842,STAR
92566,QSO
322452,QSO
767773,STAR
906111,GALAXY
426612,QSO
452843,STAR
1105948,GALAXY
820980,STAR
585958,STAR
812051,STAR
736161,STAR
577435,STAR
1309944,GALAXY
1216002,GALAXY
1129670,GALAXY
46029,QSO
970127,GALAXY
1182379,GALAXY
293321,QSO
1234622,GALAXY
846375,STAR
620210,STAR
536294,STAR
1179981,GALAXY
276726,QSO
1295640,GALAXY
505076,STAR
120761,QSO
880664,GALAXY
539258,STAR
205285,QSO
432570,QSO
682822,STAR
235706,QSO
228252,QSO
255519,QSO
1194428,GALAXY
184140,QSO
82460,QSO
594261,STAR
600971,STAR
1020177,GALAXY
788790,STAR
84754,QSO
480611,STAR
560648,STAR
331748,QSO
845634,STAR
474722,STAR
1000336,GALAXY
400415,QSO
461680,STAR
1004150,GALAXY
507625,STAR
506792,STAR
46485,QSO
365826,QSO
69871,QSO
340948,QSO
23876,QSO
867121,STAR
853918,STAR
62440,QSO
710224,STAR
273432,QSO
791150,STAR
1030381,GALAXY
484624,STAR
1304505,GALAXY
532600,STAR
945632,GALAXY
1064138,GALAXY
748191,STAR
895532,GALAXY
799637,STAR
140954,QSO
238241,QSO
520604,STAR
280640,QSO
98561,QSO
1111025,GALAXY
1141428,GALAXY
612060,STAR
1195774,GALAXY
79837,QSO
80449,QSO
621407,STAR
1058646,GALAXY
369209,QSO
46617,QSO
1232142,GALAXY
273691,QSO
213029,QSO
523381,STAR
1260937,GALAXY
1299003,GALAXY
1229380,GALAXY
1202032,GALAXY
632351,STAR
523728,STAR
301500,QSO
86693,QSO
671543,STAR
1233551,GALAXY
561775,STAR
134929,QSO
658252,STAR
749048,STAR
1007540,GALAXY
142971,QSO
817599,STAR
128778,QSO
869330,STAR
459412,STAR
660258,STAR
1167252,GALAXY
33795,QSO
292832,QSO
1197640,GALAXY
1048576,GALAXY
305631,QSO
1225365,GALAXY
187689,QSO
633266,STAR
409231,QSO
899700,GALAXY
1197547,GALAXY
899718,GALAXY
18714,QSO
38342,QSO
584753,STAR
425909,QSO
925282,GALAXY
865248,STAR
335444,QSO
106376,QSO
1296503,GALAXY
46576,QSO
252894,QSO
194927,QSO
794401,STAR
260590,QSO
15830,QSO
494556,STAR
971675,GALAXY
1217061,GALAXY
121616,QSO
966311,GALAXY
457561,STAR
982657,GALAXY
605422,STAR
719426,STAR
593912,STAR
84182,QSO
442886,STAR
47557,QSO
1063999,GALAXY
163777,QSO
703596,STAR
358517,QSO
168780,QSO
446844,STAR
436807,QSO
355259,QSO
1048873,GALAXY
643441,STAR
786523,STAR
113111,QSO
1013068,GALAXY
206716,QSO
1284684,GALAXY
361182,QSO
1044087,GALAXY
343593,QSO
882090,GALAXY
465089,STAR
816576,STAR
520398,STAR
1089310,GALAXY
322200,QSO
1097591,GALAXY
622713,STAR
303421,QSO
1278104,GALAXY
155144,QSO
207529,QSO
1150524,GALAXY
1105033,GALAXY
787676,STAR
1100554,GALAXY
1066233,GALAXY
48024,QSO
595551,STAR
587159,STAR
308764,QSO
599,QSO
762623,STAR
531734,STAR
278446,QSO
1077543,GALAXY
196622,QSO
465017,STAR
652176,STAR
485323,STAR
535371,STAR
486213,STAR
332821,QSO
373521,QSO
1138914,GALAXY
266692,QSO
278410,QSO
1087158,GALAXY
718212,STAR
1304524,GALAXY
1304338,GALAXY
171519,QSO
622486,STAR
1241480,GALAXY
1191561,GALAXY
1197327,GALAXY
1233532,GALAXY
1196996,GALAXY
455860,STAR
1055703,GALAXY
818830,STAR
592159,STAR
1281083,GALAXY
278613,QSO
363311,QSO
194416,QSO
549827,STAR
128225,QSO
131581,QSO
226631,QSO
507913,STAR
966963,GALAXY
814781,STAR
857061,STAR
1051351,GALAXY
338927,QSO
589771,STAR
1024087,GALAXY
287431,QSO
247466,QSO
674331,STAR
592407,STAR
1055440,GALAXY
506573,STAR
705354,STAR
585686,STAR
540184,STAR
498910,STAR
1026691,GALAXY
466355,STAR
674654,STAR
277998,QSO
1051241,GALAXY
1129098,GALAXY
1244725,GALAXY
