,class
780522,STAR
214094,QSO
477087,STAR
582941,STAR
978855,GALAXY
837814,STAR
969515,GALAXY
371862,QSO
878869,GALAXY
297637,QSO
128217,QSO
1161172,GALAXY
762174,STAR
115975,QSO
1027411,GALAXY
810977,STAR
608838,STAR
289384,QSO
568106,STAR
307652,QSO
474483,STAR
1299558,GALAXY
533275,STAR
181062,QSO
231164,QSO
1038035,GALAXY
387909,QSO
975248,GALAXY
322943,QSO
417287,QSO
150842,QSO
1126598,GALAXY
12712,QSO
9630,QSO
466635,STAR
978643,GALAXY
973411,GALAXY
116049,QSO
1318585,GALAXY
767637,STAR
1162573,GALAXY
856081,STAR
1007486,GALAXY
76054,QSO
567433,STAR
113823,QSO
101087,QSO
889302,GALAXY
493665,STAR
535082,STAR
569764,STAR
519052,STAR
7779,QSO
367411,QSO
838094,STAR
9935,QSO
182362,QSO
1291469,GALAXY
1171719,GALAXY
610851,STAR
771282,STAR
787142,STAR
504390,STAR
861416,STAR
373778,QSO
326143,QSO
719539,STAR
766750,STAR
119196,QSO
784198,STAR
981015,GALAXY
229059,QSO
1053104,GALAXY
600556,STAR
1105695,GALAXY
954940,GALAXY
1000207,GALAXY
799515,STAR
1186027,GALAXY
1313422,GALAXY
1117926,GALAXY
1312572,GALAXY
545178,STAR
989361,GALAXY
247871,QSO
1195436,GALAXY
550948,STAR
118761,QSO
956218,GALAXY
669266,STAR
371214,QSO
8375,QSO
782058,STAR
1201987,GALAXY
168166,QSO
967331,GALAXY
577877,STAR
99086,QSO
986890,GALAXY
224550,QSO
213545,QSO
89438,QSO
112251,QSO
436725,QSO
629706,STAR
702388,STAR
27778,QSO
986944,GALAXY
1004359,GALAXY
409967,QSO
77865,QSO
161917,QSO
1109414,GALAXY
302066,QSO
1089084,GALAXY
340912,QSO
454853,STAR
215974,QSO
343555,QSO
1013617,GALAXY
396605,QSO
431483,QSO
1053981,GALAXY
492009,STAR
930693,GALAXY
783598,STAR
629576,STAR
444293,STAR
694569,STAR
83963,QSO
366177,QSO
428647,QSO
274829,QSO
617641,STAR
1027979,GALAXY
768182,STAR
875441,STAR
743744,STAR
375661,QSO
280878,QSO
647895,STAR
373394,QSO
507230,STAR
958500,GALAXY
646842,STAR
302000,QSO
971265,GALAXY
275538,QSO
635460,STAR
414287,QSO
107320,QSO
4385,QSO
1006723,GALAXY
663416,STAR
1137336,GALAXY
308908,QSO
210875,QSO
298999,QSO
168097,QSO
743841,STAR
525592,STAR
936359,GALAXY
888883,GALAXY
361647,QSO
18303,QSO
391244,QSO
1116015,GALAXY
71614,QSO
300758,QSO
402746,QSO
344822,QSO
609742,STAR
1237035,GALAXY
1031709,GALAXY
1221968,GALAXY
273296,QSO
194650,QSO
665692,STAR
480387,STAR
261157,QSO
188684,QSO
368816,QSO
927417,GALAXY
660930,STAR
1150036,GALAXY
1142978,GALAXY
1041734,GALAXY
435769,QSO
746797,STAR
97538,QSO
115001,QSO
657983,STAR
1293151,GALAXY
153618,QSO
960767,GALAXY
258110,QSO
782636,STAR
321410,QSO
723597,STAR
808161,STAR
528409,STAR
910315,GALAXY
3981,QSO
97284,QSO
1165140,GALAXY
1037816,GALAXY
739142,STAR
958182,GALAXY
226838,QSO
1192007,GALAXY
1060601,GALAXY
535064,STAR
1127880,GALAXY
610092,STAR
266372,QSO
368038,QSO
1003420,GALAXY
68828,QSO
146577,QSO
967741,GALAXY
1181901,GALAXY
592379,STAR
19476,QSO
756325,STAR
34738,QSO
1161360,GALAXY
336035,QSO
895811,GALAXY
837613,STAR
1234273,GALAXY
767368,STAR
394043,QSO
1100563,GALAXY
854704,STAR
836861,STAR
195029,QSO
1109058,GALAXY
425594,QSO
48916,QSO
150863,QSO
1122951,GALAXY
123442,QSO
118728,QSO
672048,STAR
1046392,GALAXY
272108,QSO
557567,STAR
946640,GALAXY
988110,GALAXY
597486,STAR
466487,STAR
566420,STAR
1058213,GALAXY
595858,STAR
523246,STAR
1302469,GALAXY
367886,QSO
64090,QSO
233815,QSO
843435,STAR
524460,STAR
1310097,GALAXY
953148,GALAXY
1136685,GALAXY
535003,STAR
961414,GALAXY
843361,STAR
707294,STAR
1303296,GALAXY
598705,STAR
385517,QSO
712702,STAR
512406,STAR
800486,STAR
839619,STAR
1199608,GALAXY
258434,QSO
934254,GALAXY
1049619,GALAXY
685265,STAR
506210,STAR
729477,STAR
197910,QSO
23883,QSO
287921,QSO
1298132,GALAXY
948521,GALAXY
1267438,GALAXY
33033,QSO
766642,STAR
777861,STAR
908777,GALAXY
318426,QSO
1000379,GALAXY
1090115,GALAXY
238831,QSO
532915,STAR
91131,QSO
702265,STAR
351537,QSO
773494,STAR
545873,STAR
164095,QSO
666039,STAR
30853,QSO
779258,STAR
147944,QSO
1279060,GALAXY
725567,STAR
655385,STAR
327035,QSO
251870,QSO
1261688,GALAXY
830017,STAR
516583,STAR
593226,STAR
744561,STAR
1250130,GALAXY
176380,QSO
792933,STAR
1168644,GALAXY
352710,QSO
489027,STAR
558303,STAR
477728,STAR
96958,QSO
396065,QSO
29756,QSO
787870,STAR
25428,QSO
155799,QSO
930108,GALAXY
731443,STAR
914417,GALAXY
826927,STAR
543250,STAR
1241400,GALAXY
779279,STAR
635139,STAR
607043,STAR
633743,STAR
667263,STAR
2712,QSO
89765,QSO
332128,QSO
715311,STAR
1307647,GALAXY
444275,STAR
263668,QSO
1173537,GALAXY
163043,QSO
1228790,GALAXY
207804,QSO
566553,STAR
753419,STAR
730969,STAR
1003938,GALAXY
1136251,GALAXY
329454,QSO
320892,QSO
136832,QSO
1099056,GALAXY
379305,QSO
504266,STAR
188881,QSO
409808,QSO
313410,QSO
249877,QSO
465922,STAR
763153,STAR
1292242,GALAXY
645528,STAR
888777,GALAXY
841346,STAR
744592,STAR
670646,STAR
1285304,GALAXY
780066,STAR
1035057,GALAXY
257749,QSO
173158,QSO
32717,QSO
815197,STAR
1262010,GALAXY
398707,QSO
899445,GALAXY
897344,GALAXY
875329,STAR
1207358,GALAXY
684048,STAR
656973,STAR
352374,QSO
1276937,GALAXY
1039890,GALAXY
1107855,GALAXY
1284476,GALAXY
783035,STAR
344153,QSO
145023,QSO
1214181,GALAXY
198803,QSO
904403,GALAXY
181831,QSO
22209,QSO
89529,QSO
686990,STAR
1133049,GALAXY
1041135,GALAXY
1057695,GALAXY
1291941,GALAXY
355386,QSO
896055,GALAXY
1155259,GALAXY
439762,STAR
616418,STAR
282508,QSO
281433,QSO
1171549,GALAXY
143124,QSO
718787,STAR
185768,QSO
282000,QSO
608503,STAR
467537,STAR
542114,STAR
791459,STAR
937742,GALAXY
794694,STAR
590256,STAR
317878,QSO
1274325,GALAXY
351843,QSO
748821,STAR
623498,STAR
823097,STAR
701518,STAR
936704,GALAXY
1252709,GALAXY
92078,QSO
274084,QSO
683653,STAR
823277,STAR
734408,STAR
648051,STAR
622102,STAR
854078,STAR
135762,QSO
962576,GALAXY
