Wavelength,Flux,BestFit,SkyFlux
3824.724,22.708,25.398,3.744
3825.604,22.281,24.119,5.482
3826.484,21.349,22.798,7.117
3827.366,16.330,21.706,8.681
3828.247,26.737,20.732,10.128
3829.130,24.189,20.299,11.447
3830.011,25.545,19.808,12.687
3830.894,32.273,21.084,13.599
3831.775,25.542,23.910,14.216
3832.657,36.379,26.786,14.449
3833.540,36.854,28.802,14.105
3834.422,32.910,30.578,13.402
3835.307,41.227,30.610,12.078
3836.189,35.818,31.064,10.196
3837.073,31.738,31.272,8.048
3837.956,34.976,30.046,6.952
3838.839,35.339,28.262,7.886
3839.724,31.095,28.697,9.331
3840.608,24.109,28.563,9.996
3841.493,25.488,28.711,9.994
3842.377,31.127,28.769,10.065
3843.263,30.756,28.754,10.568
3844.147,30.728,29.150,11.023
3845.032,36.898,29.448,10.771
3845.918,33.223,29.004,9.994
3846.803,33.022,28.966,8.887
3847.690,31.276,28.454,7.413
3848.575,26.772,27.561,6.522
3849.463,39.382,27.130,7.373
3850.348,29.321,26.723,9.391
3851.234,26.122,27.698,10.657
3852.122,31.448,29.222,10.041
3853.008,32.685,29.948,8.500
3853.897,34.928,30.274,7.471
3854.783,26.529,31.502,7.340
3855.672,39.837,33.280,7.050
3856.559,40.886,34.300,6.266
3857.446,30.710,34.947,5.824
3858.336,38.231,35.694,5.560
3859.223,37.420,36.724,5.335
3860.113,38.666,37.675,5.415
3861.001,44.604,37.802,5.810
3861.892,44.233,38.203,6.454
3862.780,37.117,39.688,6.774
3863.669,35.037,39.796,6.758
3864.560,43.286,38.615,6.588
3865.449,36.783,37.995,6.278
3866.340,39.267,36.927,6.258
3867.230,33.618,35.478,5.981
3868.121,37.428,34.173,5.431
3869.011,35.455,33.073,4.739
3869.901,34.879,31.997,4.188
3870.794,34.343,31.074,3.769
3871.684,28.821,30.936,3.608
3872.577,35.036,30.962,3.905
3873.468,35.923,29.582,4.400
3874.361,26.358,28.652,5.054
3875.252,24.276,28.030,5.667
3876.144,29.378,26.356,6.023
3877.038,25.100,25.475,5.851
3877.930,25.155,25.595,5.489
3878.824,23.562,24.640,4.956
3879.716,20.179,23.443,4.411
3880.611,26.203,23.664,3.905
3881.504,33.845,25.734,3.682
3882.396,30.424,28.146,4.190
3883.292,41.818,30.193,4.614
3884.185,32.890,31.825,4.924
3885.081,36.612,33.129,4.360
3885.975,39.119,34.508,3.253
3886.871,46.624,35.582,2.406
3887.765,37.745,34.694,2.444
3888.659,30.941,34.660,3.633
3889.556,33.148,34.636,4.751
3890.451,27.231,35.018,5.571
3891.348,37.708,35.893,5.394
3892.243,37.941,36.348,4.808
3893.141,35.247,35.629,4.126
3894.036,35.785,34.878,3.914
3894.934,34.430,33.844,4.128
3895.830,32.171,32.336,4.712
3896.726,30.296,30.686,5.012
3897.625,32.623,29.782,4.975
3898.522,34.216,30.290,4.988
3899.421,29.390,30.133,5.414
3900.318,28.663,29.284,6.442
3901.217,33.327,28.314,7.122
3902.115,27.230,27.711,7.179
3903.012,24.587,27.648,6.483
3903.912,29.318,27.795,6.716
3904.810,31.288,27.480,7.698
3905.711,25.443,26.627,8.745
3906.609,26.577,26.042,9.484
3907.510,28.120,25.352,10.062
3908.409,25.358,24.041,10.747
3909.308,30.660,23.683,11.504
3910.210,25.176,23.768,11.577
3911.109,23.516,22.783,10.276
3912.011,31.315,22.320,9.912
3912.911,25.177,22.158,10.796
3913.813,15.487,20.743,10.695
3914.714,21.835,19.312,9.278
3915.614,24.575,18.559,7.880
3916.517,22.916,18.633,7.655
3917.418,27.460,18.581,8.015
3918.322,27.618,18.519,7.919
3919.223,20.430,18.914,7.292
3920.127,26.360,18.764,6.186
3921.029,21.143,19.509,4.993
3921.931,20.093,20.991,4.629
3922.835,24.575,22.527,5.328
3923.737,26.072,24.305,6.403
3924.642,24.677,26.655,7.035
3925.545,32.692,28.483,6.865
3926.450,36.530,29.471,5.988
3927.354,31.815,30.373,5.273
3928.257,40.986,31.034,4.926
3929.163,33.083,31.806,4.834
3930.067,32.821,32.829,4.928
3930.973,29.705,32.561,5.473
3931.877,28.292,32.158,6.223
3932.784,35.770,31.495,6.878
3933.689,34.405,31.471,7.042
3934.594,32.119,32.311,6.505
3935.501,33.566,32.846,5.472
3936.406,34.755,31.829,4.422
3937.314,35.255,31.401,4.079
3938.220,32.638,30.998,5.305
3939.128,31.041,30.342,7.693
3940.034,28.194,29.774,9.468
3940.941,25.118,29.491,9.880
3941.849,26.963,28.951,10.117
3942.756,27.053,28.749,9.584
3943.665,32.829,29.802,8.289
3944.573,37.950,31.175,7.888
3945.482,36.307,32.335,9.093
3946.390,34.441,33.359,10.785
3947.298,34.888,33.763,11.070
3948.208,36.909,34.200,9.394
3949.116,35.198,34.050,7.763
3950.027,30.992,34.071,7.852
3950.936,30.394,34.065,8.545
3951.847,31.686,33.239,8.642
3952.756,31.277,32.434,8.131
3953.665,28.111,31.758,7.486
3954.577,28.645,30.852,6.916
3955.487,33.863,29.893,6.327
3956.399,34.926,30.292,5.720
3957.309,31.223,32.107,5.525
3958.221,30.106,31.694,5.986
3959.132,29.365,32.064,6.833
3960.045,30.543,32.259,7.477
3960.956,32.606,31.193,7.317
3961.867,34.046,30.190,6.516
3962.781,33.297,30.566,6.044
3963.692,32.945,29.876,5.807
3964.606,34.840,29.313,5.733
3965.518,31.666,29.787,5.424
3966.433,26.902,29.364,4.631
3967.345,39.305,28.249,3.434
3968.258,33.307,28.008,3.134
3969.173,27.815,27.324,4.279
3970.086,26.658,27.193,5.492
3971.002,27.093,27.053,5.701
3971.915,34.693,26.647,5.234
3972.831,32.674,27.088,5.120
3973.745,33.035,29.181,5.969
3974.659,38.368,30.969,7.347
3975.576,35.690,32.159,8.201
3976.490,34.140,33.037,8.255
3977.407,30.337,33.835,8.030
3978.322,30.763,34.523,8.457
3979.240,34.370,34.980,8.368
3980.155,34.185,35.362,7.765
3981.071,38.703,36.018,7.340
3981.989,35.897,36.746,7.297
3982.905,38.845,36.354,7.457
3983.823,42.684,35.783,7.374
3984.740,38.381,36.572,6.821
3985.659,36.064,36.886,6.034
3986.576,35.619,36.874,5.980
3987.493,34.077,36.982,7.228
3988.412,35.216,36.156,7.936
3989.330,31.619,35.500,7.174
3990.250,38.470,36.878,6.740
3991.168,39.152,38.511,7.072
3992.088,38.162,40.125,7.250
3993.006,40.343,41.007,6.753
3993.925,41.459,41.360,6.041
3994.846,39.453,41.774,5.689
3995.765,38.937,42.561,5.554
3996.686,42.104,43.241,5.573
3997.606,42.579,42.913,5.512
3998.528,43.845,41.929,6.225
3999.447,42.628,41.194,7.302
4000.368,45.409,41.179,7.917
4001.290,40.866,40.948,7.199
4002.211,46.315,38.690,5.445
4003.133,47.889,37.950,4.689
4004.054,42.562,37.722,5.458
4004.978,40.434,36.733,6.642
4005.899,32.727,35.873,7.564
4006.821,32.574,36.079,8.421
4007.745,37.236,35.213,9.486
4008.666,34.265,35.277,10.291
4009.591,37.560,33.711,9.886
4010.513,34.561,31.304,9.879
4011.438,28.557,29.378,10.789
4012.361,27.982,27.674,11.098
4013.284,25.296,24.914,10.436
4014.209,19.184,21.904,9.570
4015.133,17.733,18.948,8.848
4016.059,19.493,16.618,7.954
4016.983,17.499,15.307,7.446
4017.909,13.684,14.702,7.789
4018.833,16.244,14.243,8.822
4019.758,21.077,16.588,10.144
4020.685,18.284,19.265,10.700
4021.610,21.451,21.288,10.853
4022.537,27.860,23.518,10.601
4023.462,32.709,26.344,9.588
4024.390,33.681,27.921,8.308
4025.316,32.199,30.169,8.030
4026.242,33.447,31.335,8.519
4027.171,32.254,31.820,8.355
4028.097,34.202,32.512,8.429
4029.026,38.573,33.584,8.933
4029.953,39.671,34.855,8.646
4030.882,36.477,36.462,7.890
4031.809,34.970,37.401,7.750
4032.739,39.623,37.812,8.045
4033.667,42.732,38.646,7.990
4034.595,40.909,40.261,7.565
4035.525,42.200,41.149,7.642
4036.453,45.952,40.982,8.200
4037.384,39.612,41.118,8.263
4038.313,37.785,41.266,8.644
4039.244,36.745,40.841,9.148
4040.173,41.558,40.172,8.628
4041.103,42.883,40.152,8.701
4042.035,40.050,38.871,9.835
4042.965,37.049,38.412,11.025
