,i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,phaseAmplitude,t_char,rBLR,FHWM,label
36438,43.90507692466871,43274.50481018957,3.6756497279249136,42.12583898197634,0.5136963876875085,0.95319791650735,0.5448068993722083,0.5873068425078065,321.84155801090134,1.4440536600954212,2.172117479701014e+16,7072.442108950756,9463.759458205714,1200.0000000000011,singlePeak
1529,10.0,500.0,0.05,100.0,1.0,1.0,1.0,1.0,360.0,0.0,650985957670759.4,0.8835394871163382,1.4853755232268295,2999.999999999936,doublePeak
59230,25.459795117949223,18222.10188868648,3.870960986159916,5.866380478923025,0.6871601228795037,0.4068691636634646,0.0728721528670797,0.2237483758900962,23.85872581424077,1.1779480617088356,1.5106738023735412e+16,2504.348288757927,4196.338431750569,1200.0000000000011,singlePeak
76195,29.85675026783648,31946.655703486394,4.6685390986508,98.44268225273944,0.3755668891245183,0.9621512754657412,0.3317146442738388,0.237338753282857,67.5095483488621,-0.7881903697635111,3.410864045210323e+16,6305.866626023038,8867.224696772544,1200.0000000000011,doublePeak
74878,47.08833167495604,45223.361670583785,4.044435295451667,13.32281381668204,0.3449767541982911,0.1546524175245468,0.4125229819535089,0.5470315516829511,300.33767701046867,-0.2734672539877185,2.0382260709202584e+16,8161.97942489169,10879.025373053428,1200.0000000000011,singlePeak
4010,10.0,500.0,5.0,51.0,1.0,0.5,0.0,0.0,0.0,2.0,211868290488554.2,86.10863750670694,149.27039031517822,2400.0000000000023,singlePeak
61032,88.0731303522628,5647.11244387046,3.343081057763201,21.07470584670358,0.671221739697907,0.132354129078972,0.5002765086982663,0.2502378089358105,49.386887964553765,1.7389384838693354,4804975688421092.0,658.9727421059351,1122.5187977192563,4200.000000000004,doublePeak
125438,59.49888769470273,1579.5902843281044,4.593034346039236,97.74218866607154,0.0867925007315808,0.4533759791142155,0.8360813661407674,0.7835842536803385,328.21980987959085,-0.6962489953922355,519263382405954.9,334.6732482102957,431.5844348066301,7800.000000000007,doublePeak
130040,71.52302115584186,15365.99564087191,3.5565627771482813,71.61365359508665,0.6774588181455599,0.4659362584844738,0.981566221176004,0.7602053122578512,122.35923351272493,1.1058033711061488,5568320602846363.0,2430.560362868163,3251.2956420671712,2400.0000000000023,singlePeak
6723,10.0,25250.0,5.0,2.0,0.5,1.0,1.0,1.0,180.0,2.0,1.7569255783576048e+16,4469.135087110452,7509.458425837412,599.999999999934,singlePeak
65634,22.73016282601221,7326.912156441769,2.686467986121056,68.60641005481004,0.5540345182635038,0.5668312242763857,0.5302267062704618,0.8428659251363363,320.5580821529988,0.0542503885711336,2559736070028424.5,737.2167674437535,1170.2348008563167,1800.0000000000016,doublePeak
43633,10.65722488161777,11197.83160308983,2.1297904833099657,27.604129612027904,0.0907190560266523,0.4547184269136505,0.2376322181246086,0.7546294710895559,359.44997130542635,1.097043096644733,1.0085954734616332e+16,827.918895394852,1418.8479351771052,1200.0000000000011,singlePeak
9315,45.0,500.0,2.525,2.0,1.0,0.0,0.5,1.0,360.0,-2.0,518701948885188.0,49.81123389613706,75.09461036191259,13200.000000000013,doublePeak
4381,10.0,500.0,5.0,100.0,0.5,0.5,0.5,1.0,180.0,-2.0,528939530282571.5,87.03494043695515,148.49350123525764,2999.999999999936,doublePeak
73149,14.8328676645795,27481.36190801719,2.7216583049014536,33.508660529755474,0.1562847673017668,0.4618133957841142,0.0155990072736431,0.8273029672516184,257.9733550543069,0.8894067177605058,2.519882891506509e+16,2569.2199417335987,4447.869672170724,599.999999999934,singlePeak
26194,80.0,25250.0,0.05,2.0,0.0,0.5,1.0,0.0,360.0,2.0,1.2572473701403858e+16,43.32352572425939,75.10186417102504,1200.0000000000011,singlePeak
40235,42.585084769827205,6172.815420035425,4.176880855746773,23.6940503393926,0.5739690470964603,0.7081316807617849,0.3559381873435349,0.8128531856088679,286.1103095782078,0.0718833223644574,5455268493972418.0,1019.0571159560768,1533.110985750607,2999.999999999936,doublePeak
96147,29.02191116738291,4720.340299578195,1.9685479669665804,20.145003258144044,0.3152286747953916,0.6765047223993921,0.2053053658167513,0.7373407478812156,44.87513609188159,-0.9545557425153136,7397797357992915.0,339.9338327002811,552.5980497455287,2999.999999999936,doublePeak
56789,37.59113404417576,42857.83241481714,1.3255320071863892,61.98533944615991,0.2337788664350918,0.7428368560945071,0.7613099457383367,0.6553425926814502,74.77300276786242,-1.6083959989722136,4.342979750729151e+16,2622.2803914415995,3376.983352721348,1200.0000000000011,singlePeak
103507,48.93266286306842,7150.991670170751,2.4043851756631263,55.82803349449594,0.6141432450658855,0.8118777962798722,0.7823407499003956,0.7996867555179453,44.40170243628013,-1.66956390365422,9556237706494780.0,799.586929477094,1022.4046871845444,3600.000000000003,doublePeak
86898,73.62149064128675,30553.13174466379,0.3129766178647533,21.4889517275904,0.7661635996807692,0.1455395357789717,0.236562767643936,0.0788280714216208,331.9062029368882,-0.8360936475867669,7045362094586044.0,348.074369347868,568.6074112779119,1800.0000000000016,singlePeak
51234,88.96944006106575,24460.775590672907,0.2286087734066194,4.541355782751689,0.8335228319446969,0.1645075096303093,0.4312199565029274,0.1020974696887234,177.21348869828913,-1.8794658942660896,1.482667254374222e+16,193.0129981077889,332.3119308637926,1800.0000000000016,singlePeak
67259,81.09895295108386,38096.94558822946,4.041185213414882,46.513820642166735,0.5953547719970699,0.1985552205774237,0.962499671595028,0.9768739964161892,14.541986532703625,0.8528755691633059,3.2960629861221016e+16,6190.889684877634,9157.12083264898,1200.0000000000011,singlePeak
86931,70.25085954166406,21825.07172499249,3.012240618772757,15.254513315474592,0.5589225467530223,0.3153823745819393,0.1006607494955467,0.2238149709216975,99.2630421538541,-0.3790613093637871,1.2733636258896602e+16,2348.5905728509656,3909.125218544855,1800.0000000000016,singlePeak
36790,50.46290866216128,36976.00662604556,4.182814347947214,84.75046854067493,0.0813727072328617,0.5865001125300212,0.4322831164003781,0.1258885707095759,174.5772703742017,-1.0143165224970183,2.284880226773475e+16,6589.383887105689,9197.721523710292,600.0000000000006,singlePeak
12725,45.0,25250.0,0.05,51.0,0.0,0.5,0.5,1.0,360.0,2.0,2.4045988469452148e+16,58.17389637925164,75.12966645408636,2400.0000000000023,singlePeak
15306,45.0,25250.0,5.0,2.0,0.0,0.0,0.5,0.5,360.0,2.0,2.3542783436691944e+16,5576.65381551693,7509.233507801798,1800.0000000000016,singlePeak
21959,80.0,500.0,0.05,2.0,1.0,0.5,0.0,0.0,180.0,2.0,311267295382543.9,0.8580185309169771,1.487260746026188,15600.000000000016,doublePeak
129151,82.2164945701924,16641.138983331246,2.3344214246700736,15.334043724741525,0.8964103231162596,0.618459803979614,0.9589014819269396,0.9732606177398646,54.53847942590831,-0.2226762240139792,1.5542093269259884e+16,1466.5116982597108,2310.5577940901217,2400.0000000000023,singlePeak
79483,65.57425510732224,17365.986416777087,2.4637433408981866,49.79080863156428,0.5485440961608242,0.8727668410290009,0.8054319896437285,0.9686645968949478,11.04532146654308,0.7670145102865167,1.7482549165970074e+16,1948.3336891041708,2544.660081981094,2100.0000000000355,singlePeak
132138,80.1797312519607,17741.502510608654,0.9213756116599184,34.94754606100531,0.8759019034315858,0.1056530858062395,0.4078440298557305,0.9969901592693206,46.8904712279592,0.2578245952473637,1.7165161280883616e+16,591.8282572865363,972.5397656485798,1800.0000000000016,singlePeak
139744,64.06224629631869,34536.51206847336,2.814668400867056,79.79223589886925,0.0873316702836459,0.9055359486747524,0.1050179158093015,0.8872958238174696,37.39805136946288,0.6130422186555675,5.626860801397648e+16,3578.689092136305,5780.569997139275,1800.0000000000016,doublePeak
131352,6.705795007656747,3570.1419321407266,2.727215712542024,71.80860813545696,0.9726282851508014,0.7350811285958325,0.6574708862574534,0.4263241016808148,57.65472279826336,1.7907377912272695,3753879425909075.0,342.55442375818706,581.3848660817663,1200.0000000000011,singlePeak
59060,18.54549441928268,1440.8442807191398,3.183287288572848,65.82348655052687,0.0270555039152381,0.9548146632700584,0.3902705225212551,0.4377355482052394,257.19228722607505,0.0851307936256651,2482268465639577.0,172.81446798526432,272.4014669241541,2999.999999999936,doublePeak
21774,80.0,500.0,0.05,2.0,0.5,0.0,1.0,1.0,360.0,2.0,328606201120212.4,1.0601537084916146,1.4872488051071768,15600.000000000016,doublePeak
40917,47.53790990656363,24065.20235359873,2.40940241904502,18.90064503463429,0.8314974820951361,0.142647094715167,0.0203056782327999,0.2433180808653722,314.26649855168694,1.0477870317255031,1032229123304688.8,2009.8827737137285,3449.609264541895,1200.0000000000011,singlePeak
9719,45.0,500.0,2.525,51.0,0.5,0.5,0.5,0.5,180.0,2.0,346227796599802.9,56.339786940385,75.14752249114443,14999.999999999947,doublePeak
8988,45.0,500.0,2.525,2.0,0.0,0.0,1.0,0.5,0.0,0.0,486022273935222.6,50.27081926669324,75.09428525361538,13200.000000000013,doublePeak
49463,38.78943191085608,13566.750070016396,3.641724824413744,29.216216582284424,0.2876395202607104,0.7124999730905469,0.8667777126616941,0.7266341588916272,4.062290195692029,-1.7831395502962557,1.3291735556079648e+16,2314.2763120863874,2937.1237584988426,1800.0000000000016,doublePeak
112745,15.354613854465216,28392.24655121309,2.9749628893939537,81.88519092693137,0.7053115138966627,0.4672506375979062,0.3926035009847646,0.9419621192521256,270.82956354824466,-0.2576240744565297,2.5947736737243144e+16,2979.389002136444,5016.122384903885,599.999999999934,singlePeak
109754,16.490831326549255,31050.224498027448,2.172471455685001,64.09238914322982,0.6645062519555927,0.0141387595419067,0.1940136842867567,0.1967221857386828,338.12308337285464,-1.013955728160857,1.3199773281554258e+16,2452.03959227941,4006.621843318064,599.999999999934,singlePeak
100216,89.01040822755066,28217.73079881844,2.065377330224416,32.07359632519797,0.8276129997372321,0.2002539764772022,0.437587588979105,0.9694731444982144,276.45057739119625,1.184988298622677,1.5191237407962174e+16,2014.0228076357168,3468.102526783884,1800.0000000000016,doublePeak
136949,58.76322987704569,29909.44845700964,1.7836872813358888,68.10439484000393,0.760778943626174,0.8895635665060269,0.921551232888977,0.5659567091472236,47.36081734311746,-0.1154959999601623,3.4173841256650616e+16,2484.4337174945813,3171.954856896969,1200.0000000000011,singlePeak
97310,75.28372907467423,23684.13957261665,1.09304100992723,22.300440847930005,0.0885320467300138,0.538933523602374,0.3075855560813697,0.6907292298724312,215.57466038024924,-0.8630372211657367,2.595879445586783e+16,1064.555374326584,1539.440562512874,2100.0000000000355,doublePeak
42317,89.07783605003488,39613.15056333474,3.811332943044898,22.876755677253005,0.0632332430060214,0.1362623096820345,0.631811875264754,0.7424017423790487,155.47591998952893,-0.9229581479552432,1.3891413081807558e+16,5653.615573516596,8971.090067673653,1499.9999999999682,singlePeak
606,10.0,500.0,0.05,51.0,0.0,0.5,1.0,0.5,180.0,0.0,673535573874206.0,0.9135938215428802,1.4867914679670915,2999.999999999936,doublePeak
65074,45.41837717442823,29615.57645429719,3.2253962357733506,48.03441717872507,0.8982231815811599,0.4221134291471922,0.4202672600479248,0.0646498144599294,352.5336233771972,-1.590388696044324,1.4113712148622564e+16,3995.694211056813,5678.873649112347,1200.0000000000011,singlePeak
72824,45.74598271122896,34874.72824700615,1.032834361525765,79.34402228462908,0.1397461195386049,0.9654849784850827,0.3770423880698365,0.6170914257955373,325.7127305529358,1.699043815495355,2.355514183618733e+16,1599.986848534785,2143.370676474408,2400.0000000000023,singlePeak
89201,57.28224517768647,45596.65748875916,2.195954886093259,95.0330348313338,0.8703582323999693,0.7263249252249816,0.1425851958542857,0.9271708460608872,17.446986694589096,-1.0035186141365902,3.941207996424098e+16,3599.4921047669827,5952.07802936593,1200.0000000000011,singlePeak
17309,45.0,50000.0,0.05,2.0,1.0,1.0,0.0,0.0,180.0,2.0,1.824372383033084e+16,85.78645294938836,148.7093822005261,599.999999999934,singlePeak
56105,87.11933900539944,8980.765153301254,0.1852679148064764,68.6678454959908,0.3168437285231914,0.9083121934507714,0.258078622220655,0.6618800820157504,206.1574771338679,-0.2476268443712248,1.0980307367322936e+16,58.25381114218529,98.88814634570942,3600.000000000003,doublePeak
24640,80.0,500.0,5.0,2.0,0.0,0.5,0.0,0.0,180.0,2.0,470340545519455.25,85.78836046640129,148.7151769735782,19200.00000000002,singlePeak
53164,12.523666653442486,12120.881472759604,0.8172574682328548,98.44290942317316,0.6694371048185532,0.640960753366393,0.916038341971638,0.4899869855776632,328.3642876247848,1.8622122591279384,9329096657253896.0,370.26802049405137,590.7333533663128,1200.0000000000011,singlePeak
67564,66.87749390183787,12067.873375953106,1.1757396162516094,32.38655568618334,0.1754884498985925,0.6995365535793877,0.7879090749708106,0.224995798183072,191.14684685640185,-0.3693955856304742,1.0621389530930364e+16,682.7889257916585,844.2106922127607,1499.999999999968,singlePeak
104444,87.77000693869346,28440.14918036804,4.809040083432029,79.90719296763905,0.078766552830646,0.1816076179790207,0.9014933869897084,0.195585978499775,223.1672413299566,0.8189455904204941,3.591851950369583e+16,5833.978375609602,8136.524756530837,1800.0000000000016,singlePeak
39001,32.669643888146666,13311.97850392812,1.357882333994213,76.24094111035821,0.2496946463862552,0.2185702868878916,0.7746274695150298,0.5326863169697571,148.10490991712783,1.281095161731181,1.3403692631270012e+16,814.7640652861339,1075.5576827929822,2400.0000000000023,singlePeak
