,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z
851934,STAR,0.0007278163,32.93654,33.10154,18.58311,32.51265,19.85771,18.66882,18.63072,18.67039,18.77678
407051,QSO,2.301431,11.30076,17.86195,2.785034,5.482113,21.1257,20.26125,19.84105,19.53004,19.23482
736540,STAR,0.0001702552,31.81765,63.85883,0.1684419,0.9821765,23.26926,21.69308,20.10298,18.71594,17.91987
187158,QSO,2.769939,3.443528,3.972477,0.8788668,1.888772,22.85575,21.38724,21.06091,20.81806,20.85294
986819,STAR,3.423669e-05,666.2709,872.0878,14.34062,108.2327,19.91243,17.40124,16.09715,15.43615,15.07633
1063867,GALAXY,0.117509,89.38087,113.5166,4.950895,23.70439,20.31833,18.52479,17.54611,17.1453,16.80055
750211,STAR,-6.39698e-05,19.34434,24.72931,0.07789221,2.956508,24.57888,21.07362,19.74568,19.21374,18.98669
321843,QSO,1.941784,6.363133,8.819025,3.599563,2.6562,21.81118,21.04824,20.6696,20.14787,19.92268
840140,STAR,8.602669e-05,359.6468,388.5386,79.42188,184.5967,18.14673,16.84616,16.32536,16.10846,16.00656
249686,QSO,1.5071,7.242083,6.816316,6.530093,5.255381,21.8814,21.70126,21.40465,21.05368,20.98475
986199,STAR,2.730704e-05,418.8074,558.6695,7.199573,68.74032,20.58306,17.9263,16.50249,15.89768,15.54586
1285856,GALAXY,0.3736445,5.058303,5.777737,3.392563,3.822793,21.48275,21.11354,20.89798,20.80433,20.39108
561872,STAR,0.0002202149,4.268093,4.56222,0.8732166,2.528792,22.71781,21.28885,21.02909,21.00995,20.93185
332651,QSO,2.159971,12.66226,13.1337,1.075118,7.73091,20.85093,20.27933,19.76607,19.71074,19.54516
1209959,GALAXY,0.3103195,10.9317,16.48386,0.6282154,1.654185,23.08904,21.26574,19.35,18.7637,18.21862
1334057,GALAXY,0.1165808,61.10896,79.88762,4.668837,15.84734,21.33954,18.62938,17.6272,17.24159,16.94527
1214054,GALAXY,0.5523189,5.713242,9.029911,0.2689804,0.7399643,21.90096,21.48308,20.37067,19.51602,19.03079
1449360,GALAXY,0.6434628,6.41585,10.65651,-0.07349727,0.3070097,26.39233,23.20273,21.17344,19.94132,19.40703
836660,STAR,-0.0001386154,218.058,376.5931,4.438822,21.8147,20.68651,18.64959,17.45267,16.40446,15.73952
869683,STAR,0.0006336157,29.47267,29.6608,11.17075,20.8218,19.95814,19.07871,18.76692,18.68213,18.65164
408445,QSO,1.957768,4.456098,5.247661,4.228693,3.046666,21.20603,21.15781,21.0599,21.03359,20.63736
38701,QSO,1.32414,2.364484,3.370769,1.524934,1.221183,21.77729,21.71212,21.35045,21.15072,21.75848
1000519,GALAXY,0.1986329,32.27068,43.3601,2.859452,6.437328,21.40859,19.86952,18.62291,18.10194,17.81023
1265296,GALAXY,0.08073044,69.49197,87.81736,5.201384,19.33591,17.92576,16.49719,15.8196,15.41196,15.15805
1376798,GALAXY,0.5981634,4.906818,7.940648,-0.03810707,0.2697468,24.40272,22.82389,21.04712,19.76501,19.36558
998174,GALAXY,0.3012412,7.399889,12.11655,-0.2054781,0.4686548,25.77217,21.84288,20.34984,19.53968,19.03089
1230513,GALAXY,0.4611134,12.25941,18.86428,0.1555374,1.163635,24.33521,22.006,20.29654,19.50362,19.08114
