,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z
422946,QSO,2.313246,7.703281,10.86828,4.131269,7.008773,21.35443,20.40534,20.36706,20.28479,20.0696,1.3095,1.248637,0.9846805,0.8521868,0.7102833
152091,QSO,3.191462,1.371304,1.514163,0.4872228,1.295518,23.87415,21.74992,21.59834,21.65276,21.36963,4.584467,1.684878,1.268488,2.132905,0.7012593
555047,STAR,-0.0001404727,43.8367,44.05726,16.76911,29.90015,19.9133,19.07293,18.75198,18.57438,18.62263,1.480824,1.318612,1.28289,1.545712,1.42153
1246813,GALAXY,0.07810935,44.68218,55.30491,4.595794,14.00238,20.30951,18.73183,17.89001,17.46816,17.16366,5.808612,4.43581,4.644686,4.266241,4.566664
1118035,GALAXY,0.08132816,135.4425,189.1821,12.93225,40.44469,18.88931,17.02624,16.14758,15.75158,15.39781,10.553,4.611794,4.571036,4.205117,4.033239
768097,STAR,-3.333347e-05,76.39803,81.98122,12.48435,36.22976,19.93721,18.55178,17.99036,17.75945,17.68885,1.379342,1.238623,1.144926,1.145826,1.311868
1050779,GALAXY,0.3302172,13.14737,17.49881,4.858928,6.838995,20.78076,20.31707,21.38156,20.92484,19.50865,3.395015,1.854483,0.5749856,0.6317695,1.704412
1279345,GALAXY,0.3736591,28.68034,39.77323,0.6145077,2.83032,22.96547,20.56511,18.81923,18.18122,17.74257,18.02587,3.83842,3.420222,3.316745,3.207652
331118,QSO,1.293276,15.33159,15.40234,7.644444,9.361368,20.35835,20.48495,20.07122,20.1176,19.99425,1.38233,1.33067,1.132249,1.161283,1.096241
244953,QSO,0.8137603,28.85702,35.89067,22.57411,29.81503,19.05478,18.75719,18.65264,18.75046,18.55217,1.591122,1.672197,1.355927,1.372989,13.49133
732687,STAR,2.390142e-05,262.6688,293.4212,90.18436,132.3882,17.7108,17.18951,16.67143,16.38199,16.15974,1.662755,1.495254,1.561167,1.512872,1.298362
743720,STAR,0.000113998,1.727171,1.723431,0.9357616,1.854082,22.33456,21.93623,21.95368,21.5736,22.54663,1.564733,1.625342,1.737127,1.796534,3.771374
653465,STAR,9.865574e-05,8.237993,15.55624,0.09781303,0.5896261,23.83465,22.50885,21.02213,19.87636,19.11869,2.9696,2.968933,2.26302,1.747293,2.385516
1181894,GALAXY,0.6868157,3.775495,6.440167,-0.05257676,0.1641962,23.47736,24.31015,22.0324,20.40981,19.77097,1.129483,2.970004,1.988888,4.028749,5.61595
120425,QSO,1.880079,20.18256,20.36156,19.36025,17.9914,19.15704,19.20789,19.19363,18.87891,18.87909,1.590384,1.38592,1.186634,1.154243,1.416182
441235,STAR,4.78414e-05,376.4693,438.4069,5.528752,90.72578,19.92257,17.50761,16.50246,16.14782,15.97068,1.541562,1.562266,1.507079,1.237102,1.317371
713561,STAR,-2.163256e-05,664.1613,673.6371,202.699,420.6218,17.15092,15.95383,15.54021,15.38234,15.31334,1.759406,1.861518,1.342186,1.383132,24.33986
670957,STAR,0.0001528384,15.27454,14.47822,8.81218,11.97273,20.68016,19.62818,19.50743,19.49109,19.5383,1.27676,1.352679,1.259932,1.139655,1.167065
500227,STAR,-0.0003832116,11.39727,12.86558,0.3404498,3.382242,23.49603,20.87935,20.1709,19.80712,19.8087,2.971103,1.781291,1.411025,1.388091,1.549251
1033318,GALAXY,0.2375775,15.12731,21.4611,0.8813682,2.655064,23.68188,22.35303,21.374,21.32867,19.28623,0.539285,0.5698999,0.5598897,0.5778812,2.421198
1219035,GALAXY,0.5344345,5.679657,7.950411,0.6308414,1.34321,23.43816,21.87442,20.97089,20.55317,19.73075,7.361206,2.755711,1.85429,2.461968,11.3075
1296040,GALAXY,0.05198955,70.04061,82.27731,7.79698,22.93542,17.82379,16.4233,15.80762,15.45552,15.24272,17.73664,13.46443,12.42425,12.56482,11.89124
461749,STAR,-0.0003550795,4319.21,5476.997,70.87972,904.8675,17.63115,15.11265,14.14737,13.47174,13.34827,3.113971,2.439389,2.333424,3.012607,3.095047
960206,GALAXY,0.1357255,89.36849,122.8935,5.485009,19.86552,20.42117,18.36801,17.35458,16.89329,16.46113,4.646824,3.560833,3.494703,3.298417,3.272079
1150093,GALAXY,0.7267504,2.505848,4.177922,0.0647694,0.2358886,23.06027,23.03053,21.54826,20.41854,20.11781,0.7492884,2.970264,2.267281,3.301411,11.30674
739626,STAR,-3.227423e-06,317.2155,370.8147,26.75837,104.3015,19.23835,17.42873,16.57889,16.25151,16.05574,1.438563,1.102333,0.9905031,0.9623077,0.9739869
672911,STAR,3.64951e-05,17.85411,43.50159,-0.2044607,0.0838902,23.19021,22.80273,21.2342,19.17862,18.01372,7.35996,1.599517,1.142812,1.241451,6.005222
696196,STAR,0.0001301358,29.52374,33.3892,1.346233,10.81412,22.02402,20.03845,19.09953,18.72384,18.63363,1.194478,1.452579,1.397841,9.872824,1.318948
1174578,GALAXY,0.5483879,7.091555,10.6798,-0.1756944,0.5673159,25.32591,22.81421,21.06568,20.00004,19.48416,0.2643545,2.970356,2.608912,106.7317,2.73864
1115265,GALAXY,0.0595209,136.9322,193.1123,6.287261,28.92863,18.85866,17.03336,16.04557,15.50171,15.0675,9.171511,9.523466,8.56937,7.821391,7.415971
76969,QSO,0.7848802,2.509759,3.29111,1.608799,2.522507,21.83843,21.23096,21.14402,21.1025,20.74971,3.209678,1.412069,1.231059,1.034106,2.698069
370778,QSO,1.631059,5.567796,6.010051,2.533513,3.319544,22.3672,21.60059,21.44463,21.08145,21.30655,1.224741,1.729689,1.897714,1.117246,2.970968
569094,STAR,-4.674618e-05,176.8105,200.6407,15.09849,68.91782,19.78775,17.89084,17.15282,16.89973,16.76853,1.156595,1.126761,1.062329,1.052382,1.104203
898416,GALAXY,0.5174378,8.970248,15.38978,0.2144408,0.7533537,26.08713,22.4561,20.99388,19.81139,19.27777,2.969544,2.969592,2.062969,2.001171,1.636069
217665,QSO,1.256042,4.105741,4.426426,3.40848,3.296325,21.43984,21.59297,21.26003,21.124,21.1797,1.890043,1.33139,0.9181463,0.8896223,1.188022
1257024,GALAXY,0.1171273,76.86497,97.67069,8.493657,22.33917,19.79036,18.33778,17.50917,17.10021,16.78041,10.34924,4.416265,4.083397,4.024834,3.046319
979310,GALAXY,0.09642287,67.3579,80.44105,10.55435,24.20498,18.63645,17.57482,16.95121,16.57097,16.36144,5.308025,5.217644,5.216119,4.873145,4.98285
876598,STAR,-0.0003081523,576.6635,639.5386,78.98698,252.2273,18.03427,16.44346,15.80775,15.55496,15.42019,1.651756,1.514052,1.453666,1.206455,1.191148
